TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,WR,YEAR
Oregon,P12,37,30,2.09896E+00,-1.06776E+00,1.65362E+00,7.83555E-01,-4.10061E-01,-1.23401E+00,7.02749E-01,1.13700E+00,3.03960E-01,1.04655E+00,-4.38121E-01,1.02564E+00,-9.61498E-01,7.85654E-02,7.51652E-01,4.09050E-01,2.09502E+00,8.10811E-01,2016
Florida,SEC,36,27,1.85120E+00,-2.18877E+00,1.81537E+00,5.56172E-01,-1.48089E+00,-8.53806E-01,1.05972E+00,6.62404E-01,-5.17715E-03,1.02841E+00,-1.25463E-01,3.49245E-01,-1.08209E+00,6.28180E-01,-1.58869E+00,7.97185E-01,2.05101E+00,7.50000E-01,2017
Kentucky,SEC,38,32,2.08520E+00,-1.82022E+00,1.79226E+00,9.78455E-01,-8.93659E-01,-1.42412E+00,2.56533E-01,9.94619E-01,-5.61624E-01,1.15536E+00,-2.03627E-01,1.11386E+00,-2.98250E-01,4.08334E-01,-1.54763E+00,1.92925E+00,2.43246E+00,8.42105E-01,2017
Kentucky,SEC,37,30,1.97508E+00,-2.05056E+00,1.81224E+00,1.01094E+00,-1.20454E+00,-4.58665E-02,-3.23548E-01,1.77770E+00,-1.24173E+00,1.33670E+00,-1.25103E+00,1.11386E+00,-1.71519E+00,4.44975E-01,-2.84601E-02,-2.70187E-01,2.40312E+00,8.10811E-01,2019
Gonzaga,WCC,37,34,2.34673E+00,-1.54381E+00,1.78482E+00,2.60262E+00,-2.03357E+00,-1.23401E+00,-6.80521E-01,1.08954E+00,-4.68883E-01,7.56390E-01,-6.72615E-01,2.31961E+00,-2.19755E+00,2.13046E+00,-5.62221E-01,-8.20046E-01,2.25641E+00,9.18919E-01,2015
Gonzaga,WCC,37,33,2.78721E+00,-2.03521E+00,1.88117E+00,2.95994E+00,-2.03357E+00,-1.80432E+00,1.67290E-01,5.20026E-01,-8.39848E-01,1.39807E-01,-1.39173E+00,3.61358E+00,-1.77548E+00,7.74744E-01,-1.62974E+00,1.37939E+00,2.13904E+00,8.91892E-01,2019
Arizona,P12,38,33,1.79614E+00,-2.41912E+00,1.83887E+00,5.88655E-01,-2.68988E+00,-1.42412E+00,2.11911E-01,1.68278E+00,-6.85279E-01,1.17349E+00,-9.41969E-02,4.66878E-01,-2.74021E+00,8.11385E-01,-9.72807E-01,-1.11115E+00,2.49115E+00,8.68421E-01,2014
Michigan,B10,37,28,3.00745E+00,-4.99579E-01,1.70532E+00,1.88799E+00,-2.37348E-01,-1.85185E+00,-6.80521E-01,2.17023E-02,3.03960E-01,6.72681E-02,-1.26667E+00,1.05505E+00,2.74555E-01,2.20374E+00,-1.05492E+00,-1.66101E+00,2.24174E+00,7.56757E-01,2014
Michigan St.,B10,38,29,2.26414E+00,-1.20597E+00,1.71472E+00,1.49819E+00,-1.48089E+00,-6.16177E-01,-4.12791E-01,8.52241E-01,-6.23451E-01,-1.50349E-01,8.59411E-01,8.78596E-01,-1.74534E+00,1.83733E+00,-4.80104E-01,-4.96600E-01,2.12436E+00,7.63158E-01,2014
Dayton,A10,37,26,1.35566E+00,-6.22429E-01,1.27178E+00,8.16038E-01,-4.44604E-01,-2.83496E-01,7.80467E-02,1.08954E+00,-2.21573E-01,1.10095E+00,1.28150E+00,3.78653E-01,-2.98250E-01,1.28772E+00,-4.80104E-01,-7.55357E-01,1.20007E+00,7.02703E-01,2014
Ohio St.,B10,37,29,1.43825E+00,-2.11199E+00,1.74879E+00,2.31339E-01,-1.61906E+00,-1.18649E+00,9.25857E-01,5.91215E-01,-4.07055E-01,1.76077E-01,-8.28944E-01,8.45690E-02,-1.71519E+00,5.18257E-01,-8.08573E-01,-7.87701E-01,2.16838E+00,7.83784E-01,2013
Duke,ACC,36,30,2.09896E+00,-1.78951E+00,1.78835E+00,1.30329E+00,-1.58451E+00,-1.47164E+00,7.91992E-01,-1.20676E-01,8.60407E-01,8.47064E-01,-3.28691E-01,4.96287E-01,-9.31350E-01,2.09382E+00,-2.20456E+00,2.09143E-02,2.21239E+00,8.33333E-01,2013
Marquette,BE,35,26,1.35566E+00,-1.52845E+00,1.59762E+00,-9.34944E-02,-1.34271E+00,1.04723E+00,3.90398E-01,2.15737E+00,1.10772E+00,1.15536E+00,-4.85020E-01,7.31554E-01,-1.32327E+00,-1.68020E+00,-8.49631E-01,-1.01411E+00,1.77225E+00,7.42857E-01,2013
Florida,SEC,37,29,1.72731E+00,-2.68017E+00,1.86158E+00,1.72557E+00,-2.34445E+00,-4.26073E-01,1.72905E+00,1.16073E+00,-3.45228E-01,-6.39989E-01,-7.66413E-01,1.52558E+00,-2.25784E+00,1.32436E+00,-1.38339E+00,-1.59632E+00,1.71357E+00,7.83784E-01,2013
Syracuse,ACC,37,23,1.20425E+00,-1.46702E+00,1.53378E+00,3.64388E-02,-9.62744E-01,-2.83496E-01,7.91992E-01,9.94619E-01,1.78782E+00,1.57942E-01,-1.06344E+00,-5.62416E-01,-3.58545E-01,6.64821E-01,-1.50657E+00,-7.23012E-01,1.06802E+00,6.21622E-01,2016
Michigan St.,B10,39,27,1.80990E+00,-1.62059E+00,1.71785E+00,1.07590E+00,-1.79177E+00,-5.68651E-01,-9.48250E-01,9.94619E-01,-7.78020E-01,-3.31697E-01,6.56183E-01,4.96287E-01,-1.65489E+00,1.58084E+00,-1.17810E+00,-1.24053E+00,1.55218E+00,6.92308E-01,2015
Michigan St.,B10,39,32,2.30544E+00,-1.86629E+00,1.82359E+00,1.72557E+00,-2.13720E+00,-9.33924E-02,-1.66220E+00,1.08954E+00,-9.63502E-01,-1.68484E-01,-1.14160E+00,1.52558E+00,-2.22770E+00,1.32436E+00,-1.13704E+00,2.79671E-01,2.68188E+00,8.20513E-01,2019
Oklahoma,B12,37,29,2.07143E+00,-1.39024E+00,1.71746E+00,1.43322E+00,-9.97287E-01,-1.88444E-01,-4.12791E-01,4.48837E-01,3.03960E-01,-2.77293E-01,-1.01654E+00,-2.68332E-01,-1.20268E+00,2.93656E+00,-2.74811E-01,9.91253E-01,2.28575E+00,7.83784E-01,2016
Kansas,B12,39,31,2.60827E+00,-1.03705E+00,1.74057E+00,2.47269E+00,-3.40976E-01,-9.96383E-01,-1.89683E-01,2.17023E-02,5.20356E-01,-1.36538E+00,-1.59496E+00,1.90789E+00,-2.07807E-01,2.16710E+00,-4.39046E-01,7.00152E-01,2.31509E+00,7.94872E-01,2018
Loyola Chicago,MVC,37,32,1.01154E+00,-1.19061E+00,1.37204E+00,2.53765E+00,-9.28202E-01,1.91763E-01,3.45776E-01,-1.71056E+00,-1.11807E+00,-4.22371E-01,-1.50116E+00,2.20197E+00,-6.60021E-01,2.05718E+00,-9.72807E-01,-4.31911E-01,1.40547E+00,8.64865E-01,2018
Oregon,P12,38,33,2.01638E+00,-1.43631E+00,1.71550E+00,1.82302E+00,-1.27363E+00,-7.58754E-01,3.01155E-01,7.33593E-01,-5.17715E-03,-2.34059E-02,-1.32920E+00,1.58440E+00,-9.61498E-01,1.39764E+00,-1.30128E+00,2.14982E-01,1.99232E+00,8.68421E-01,2017
