G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB
-1.252743380004714746e+00 ,-1.443130555255903724e+00 ,-1.015386001934296623e+00 ,1.390196363965440884e+00 ,-1.399173256066648108e+00 ,-1.781816760364829944e-01 ,1.661133947068447192e+00 ,8.569456520103784225e-01 ,-1.468950508711827752e+00 ,-9.036105311620189484e-01 ,8.616817262936287136e-01 ,-7.885272940071004211e-01 ,-1.401508750606133002e+00 ,3.249838806002254832e-01 ,8.295668510658741335e-01 ,-8.265509863277367142e-01 ,1.812124166042929030e+00 ,-9.442793529635172822e-01 ,-1.343734318013284579e+00
-8.769203660033002556e-01 ,-9.952624519006224302e-02 ,4.167551553486755767e-01 ,3.347366229347508715e-01 ,1.243884850231532779e-01 ,1.653975389027968479e+00 ,1.445488986808249887e-01 ,-1.572718176377393418e-01 ,-2.525779161608691092e-01 ,-2.577450413210578883e+00 ,-1.610102676304845604e+00 ,1.907793146296654641e+00 ,7.267202408608651742e-01 ,1.603242249812762088e+00 ,-2.218404132310930199e-01 ,1.050810486662543841e+00 ,1.006276475328285791e+00 ,9.810832320468509948e-02 ,-1.777784370563259830e-01
-5.010973520018856542e-01 ,-9.952624519006224302e-02 ,-1.236754700411247937e-01 ,-1.547519526157140890e-01 ,3.508834713997822236e-02 ,-1.544536097440480704e+00 ,-1.372036149706797215e+00 ,6.154653020941596164e-01 ,-2.357838172499067131e+00 ,2.849848598280205980e+00 ,-1.575772337379866217e+00 ,-3.250972183298920792e-01 ,-6.379456773317138119e-01 ,-1.409795334759643248e+00 ,-1.860798795811661410e+00 ,-1.161794106504572710e+00 ,2.810135536851081639e-01 ,6.565302925805069911e-01 ,-4.512742609845014630e-01
-1.252743380004710805e-01 ,4.976312259503117841e-01 ,5.196448321055994329e-02 ,3.041435869628464350e-01 ,-1.509211103721373182e-01 ,3.186744772013349047e-01 ,-2.690652054248913183e-01 ,-4.953443075204452262e-01 ,-1.122272324049889275e-01 ,9.223966128909550921e-01 ,5.527086759688200068e-01 ,-3.461622217697654658e-01 ,-1.668110150985616658e-01 ,8.423741729005385093e-01 ,-3.629795482574756788e-02 ,-5.248321781685836296e-01 ,-4.039569834223395994e-01 ,1.353364544964044403e-01 ,2.108735232626601785e-01
2.505486760009434932e-01 ,9.454993293055923287e-01 ,-2.910011059791126412e-02 ,-1.730293305168771445e+00 ,1.154654704618560013e+00 ,-2.291412814966504313e-02 ,-1.820118095821323667e+00 ,8.086495820271356605e-01 ,1.291279605153809795e+00 ,3.644499855414344291e-01 ,-6.488531864054389864e-01 ,2.160573187575130838e+00 ,1.409053199957155167e+00 ,7.206352805945831497e-01 ,-9.021627607173670071e-01 ,-1.228842730539939643e+00 ,-2.861792440102000068e+00 ,3.587052422467363333e-01 ,9.593884098029297203e-01
-8.769203660033002556e-01 ,-8.459730841155297387e-01 ,-2.587831263885748689e-01 ,2.276609970330863431e-01 ,-3.474594051019196939e-01 ,8.465841400165168285e-01 ,2.479524247072528165e-01 ,1.436498491809304889e+00 ,2.620412576106910252e-01 ,-1.106500213834571866e+00 ,3.810569813439260711e-01 ,-7.042672802476068750e-01 ,4.505378526552248353e-01 ,-4.023279631764054703e-02 ,3.347869619849477285e-01 ,1.050810486662543841e+00 ,3.925924647071467322e-02 ,-9.815074842552392598e-01 ,-7.823481531080820339e-01
1.378017718005187353e+00 ,7.962099615204988323e-01 ,5.923951086003603761e-01 ,-1.179618657674499582e+00 ,1.192480527215363129e+00 ,9.707981783259708175e-01 ,-1.096293413636321379e+00 ,-1.702746057101539812e+00 ,9.637946763900904212e-01 ,-2.197032258199542731e+00 ,7.930210484436701623e-01 ,-8.727873077665924129e-01 ,-6.216996544960875504e-01 ,1.542372803659783465e+00 ,-5.310778439066717871e-01 ,-5.549180992101378912e-02 ,-1.653020904030035654e+00 ,-1.018735615546958684e+00 ,6.139200006304975643e-01
6.263716900023580392e-01 ,7.962099615204988323e-01 ,-4.614446109097500304e-01 ,-5.065718662926100846e-01 ,7.791361760841756905e-03 ,1.323534197371529220e-01 ,-5.792757835041772996e-01 ,3.591246229523498146e-02 ,1.197712482649890164e+00 ,6.011546153260648867e-02 ,-5.115318307055231051e-01 ,-3.040322148900186927e-01 ,6.063330460020244228e-02 ,3.858533267532042732e-01 ,-4.073828716364407132e-01 ,-2.566376820271158432e-01 ,-6.860036751724629678e-01 ,-1.252604645456468213e-01 ,3.404241767023221121e-01
2.505486760009434932e-01 ,-8.459730841155297387e-01 ,-7.992137517783752809e-01 ,-6.595370461521301575e-01 ,-1.559905505139768112e-01 ,-1.668750135749934582e+00 ,2.134845826984427264e-01 ,4.705770921444297761e-01 ,-4.397121611687083154e-01 ,-9.205180047180838709e-02 ,1.064142699440942530e-01 ,-9.359823180862111291e-01 ,-8.653899970304766986e-01 ,-1.348925888606666623e+00 ,4.275581911876205066e-01 ,-1.564085850716775417e+00 ,-2.830798298151414039e-01 ,1.725645857881290823e-01 ,-1.345948859097718664e-01
-1.252743380004710805e-01 ,4.976312259503117841e-01 ,4.843089835224006490e-01 ,1.313713774035680792e+00 ,-4.777050210537992503e-01 ,1.529761350718514601e+00 ,1.592198263050827123e+00 ,-1.219785357269101533e+00 ,2.620412576106910252e-01 ,-9.289717414960884101e-01 ,7.586907095186908867e-01 ,-3.250972183298920792e-01 ,-8.166519285235993575e-01 ,9.641130652064938689e-01 ,2.097440316835747165e+00 ,2.224161407281469494e+00 ,1.601364000779099961e-01 ,-8.325949590883513496e-01 ,1.389009380184034748e-01
