"","EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","WR","YEAR"
"79",0.556172,-0.133719,-0.616177,-0.680521,-0.998674,-0.808934,-0.549315,-0.21926,0.53125,2017
"80",-0.320877,-0.064634,0.619495,-0.457413,-0.0732165,0.211219,0.466233,-0.234893,0.3125,2017
"81",-0.483294,1.00619,0.476918,3.11232,-1.40208,0.458529,-1.41978,1.35966,0.419355,2017
"82",-0.190944,-0.513689,0.00165929,-1.97455,0.543755,-1.55086,0.937738,-1.11034,0.606061,2017
"83",-0.125978,0.0389941,0.286814,-1.08212,0.804782,-0.963502,0.375559,-1.2354,0.571429,2017
"84",1.10839,1.45525,-0.0458665,-0.412791,-0.856296,-0.592538,0.683851,-0.266159,0.5,2017
"85",-0.0610111,-1.10092,0.762073,0.43502,-0.286784,0.211219,0.0128637,1.51599,0.454545,2017
"86",1.30329,-0.064634,-1.18649,0.613506,-2.04278,0.365787,-0.53118,-0.0316652,0.628571,2017
"87",-1.06799,0.384421,-0.80628,-0.278926,0.116621,-0.901675,1.01028,-0.359957,0.354839,2017
"88",-0.93806,0.177165,0.762073,-0.769764,-1.21224,-0.685279,-0.0234059,0.578019,0.363636,2017
"89",-0.0610111,-0.064634,-0.521125,1.0151,0.875971,0.458529,1.42738,1.04701,0.625,2017
"90",1.82302,1.48979,0.714547,-0.10044,-0.832566,-0.623451,-0.49491,-0.875843,0.451613,2018
"91",-0.0610111,0.24625,-0.521125,-0.10044,0.875971,-0.190659,0.157942,0.249727,0.5,2018
"92",-0.645711,0.764391,-0.0933924,1.10434,-2.49364,1.01498,-1.38351,-0.688248,0.290323,2018
"93",-0.255911,0.695306,-0.23597,-1.12674,-0.334243,-0.870761,-0.49491,-0.625716,0.484848,2018
"94",-0.125978,0.453507,0.239288,-0.680521,0.567485,0.149391,-1.02082,-1.04781,0.454545,2018
"95",-0.288394,0.557135,-1.04391,-0.502034,-0.903755,-1.27264,-0.639989,-0.156729,0.40625,2018
"96",0.848521,0.488049,-0.0458665,-0.94825,-0.500351,0.0566503,-1.70994,-0.250526,0.393939,2018
"97",0.718588,1.83522,-0.853806,0.16729,-1.40208,-0.376142,-0.875741,-0.531919,0.375,2018
"98",-0.353361,-0.168262,-2.27958,-1.08212,-1.37835,-1.55086,0.0128637,-1.59496,0.5,2018
"99",-0.905577,-0.27189,0.381866,-0.145061,1.06581,-0.77802,2.04396,0.0464994,0.53125,2018
"100",0.881005,0.488049,0.00165929,-0.368169,-0.0732165,-0.77802,-1.1659,-0.844577,0.545455,2018
"101",1.04342,-0.617317,-0.948857,-0.859007,-1.42581,-1.45812,-1.12963,-0.75078,0.727273,2019
"102",2.01792,-0.755488,0.0491851,-0.814386,-0.57154,-0.654365,-0.440506,-1.72002,0.636364,2019
"103",0.00395553,-0.064634,0.524443,1.32745,0.614944,1.72599,0.0854029,-0.453754,0.59375,2019
"104",-1.00303,-0.202805,-1.09143,0.211911,-0.998674,-0.468883,-1.81875,0.327892,0.387097,2019
"105",0.0689221,0.0389941,0.096711,-0.189683,-0.0732165,-0.716193,-0.0596754,-0.656982,0.545455,2019
"106",-1.32786,0.384421,-0.23597,-0.680521,-1.40208,-0.314314,-0.349832,-0.719514,0.272727,2019
"107",-0.873094,0.418964,0.714547,0.524263,-0.0969462,-0.190659,-1.09336,1.01574,0.322581,2019
"108",0.393755,0.384421,0.714547,-0.814386,0.520026,-0.747106,-0.585584,1.03137,0.34375,2019
"109",-0.808127,-0.479147,-0.426073,0.702749,0.472566,-0.499797,0.411829,0.140297,0.545455,2019
"110",1.36825,1.04073,-1.61422,-0.0558182,-2.42246,0.118478,-0.694393,-0.954008,0.393939,2019
"111",-0.613227,0.557135,-2.46968,-1.30522,-1.73429,-1.58178,-0.513045,-1.20413,0.424242,2019
"112",-0.515777,-0.997287,0.00165929,0.524263,-0.0257571,-0.252487,-1.14776,-0.516286,0.529412,2019
"113",0.296305,-0.237348,0.0491851,0.0780467,-0.785107,0.427615,0.0854029,0.937576,0.40625,2015
"114",-1.26289,-1.54997,-0.0458665,-0.412791,1.137,0.582183,-0.0234059,-0.563185,0.516129,2015
"115",0.0689221,-0.962744,1.52249,-0.278926,0.591215,0.736752,2.24344,0.484221,0.515152,2015
"116",-1.78263,-0.306433,0.429392,-0.278926,2.22856,-1.14898,-0.621854,-0.156729,0.387097,2015
"117",0.00395553,-0.859116,-1.32906,-0.591277,0.0454319,-0.0670046,0.176077,-0.985273,0.657895,2015
"118",-0.255911,-0.0300913,-1.42412,-0.546656,1.18446,0.644011,0.0491333,0.468588,0.545455,2015
"119",-0.84061,-1.27363,-0.378547,1.10434,0.994619,0.55127,0.157942,-0.75078,0.580645,2015
"120",0.523688,0.24625,-0.283496,0.122668,-0.785107,2.1897,-0.476776,-0.156729,0.333333,2015
"121",-0.678194,0.280793,0.286814,-0.680521,0.591215,-0.963502,1.26416,0.0621323,0.40625,2015
"122",-0.775644,0.798934,0.619495,0.390398,-1.78175,-0.283401,-1.56486,0.343525,0.21875,2016
"123",0.231339,-0.755488,-1.37659,-0.278926,0.235269,0.242133,-0.222889,-0.985273,0.548387,2016
"124",0.621138,0.280793,-0.331022,0.122668,0.828511,-0.376142,0.593177,0.296626,0.588235,2016
