RK,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB
-1.626708467689712334e+00 ,5.057535740249332612e-01 ,1.402945521305728027e+00 ,1.735443534319215830e+00 ,-1.328299454118223366e+00 ,1.623804668676741780e+00 ,1.085126870889027817e+00 ,-5.058678260600429910e-01 ,-1.445040652602946674e+00 ,-8.848340353273184133e-01 ,-5.474702301112633895e-01 ,-1.179657566413689018e+00 ,-1.178773915864392619e+00 ,-1.547325707659937155e+00 ,6.724079365605757364e-01 ,-4.778997133670880304e-01 ,1.052783188752151045e+00 ,-3.206086959626809341e-01 ,-7.932786912663819523e-01 ,2.144136886749064441e+00
-1.616909019089171728e+00 ,5.057535740249332612e-01 ,1.220603927409954048e+00 ,1.455011312840898352e+00 ,-1.561554705985567004e+00 ,1.622208048390711532e+00 ,-5.614753279238083872e-01 ,-2.052718698696083255e+00 ,-5.543831391060838332e-01 ,-3.089577925082788723e-01 ,2.705593198582991299e+00 ,-9.075326711717147665e-01 ,5.261604901884545105e-02 ,1.482569680941021373e+00 ,-9.190863270803871776e-01 ,-1.542441725214123149e+00 ,1.987234118954490092e-01 ,-1.951732094823815045e+00 ,-9.824608139640115256e-01 ,1.537922916014171193e+00
-1.607109570488631345e+00 ,1.127812847999851043e+00 ,8.559207396184062011e-01 ,1.277896225591437229e+00 ,-1.717058207230462763e+00 ,1.621808893319203859e+00 ,4.050085713793787345e-01 ,-1.549092833186676010e+00 ,-1.098673841798611495e+00 ,7.541983480807176177e-01 ,7.037080116942189267e-01 ,-7.034389997402350492e-01 ,8.324963601115636935e-01 ,4.052735427717918948e-01 ,5.529791596510060664e-02 ,-1.573751784386095309e+00 ,7.810368961159288581e-01 ,-8.643164955830594520e-01 ,3.796504694589193929e-01 ,1.256994490551659460e+00
-1.597310121888090961e+00 ,5.057535740249332612e-01 ,4.912375518268584096e-01 ,1.587847628277996526e+00 ,-1.421601554865162154e+00 ,1.617019032461112449e+00 ,1.156718270837410412e+00 ,-9.735204154616377004e-01 ,-1.791407463407281631e+00 ,-1.239219415523649115e+00 ,-7.226351839640308139e-01 ,-8.395014473612215644e-01 ,-1.219820248027166931e+00 ,-1.076008647210899616e+00 ,1.516874280533332398e+00 ,-9.788606601186345957e-01 ,2.763652097915113570e-01 ,-4.042560497504326111e-01 ,1.147954976822369022e-01 ,1.552708622617460898e+00
-1.587510673287550578e+00 ,5.057535740249332612e-01 ,8.559207396184062011e-01 ,1.351694178612046660e+00 ,-1.608205756359035288e+00 ,1.613426636817543613e+00 ,-2.453982831092722458e-02 ,-1.153386796000712033e+00 ,-1.544002598547042027e+00 ,-1.317651024101119950e-01 ,3.283545391525741763e-01 ,-1.251735973510394451e-01 ,-3.373241065275129347e-01 ,-1.670400306306117355e-01 ,1.852158150378318546e-01 ,-1.323271311010320916e+00 ,-2.671273754809359025e-01 ,-3.206086959626809341e-01 ,9.850332620913373471e-01 ,1.641422862237201796e+00
-1.577711224687009972e+00 ,5.057535740249332612e-01 ,8.559207396184062011e-01 ,7.613105544471699959e-01 ,-2.121367310467193068e+00 ,1.609834241173975000e+00 ,-1.098410827536689505e+00 ,-1.800905765941378522e+00 ,8.805650770833048924e-01 ,1.551565453522463001e+00 ,3.055923106288525926e+00 ,-1.251735973510394451e-01 ,1.612376671204280409e+00 ,7.250958337907817963e-01 ,-4.643736803258266543e-01 ,-1.260651192666378817e+00 ,-1.781142434454182855e+00 ,-1.868084741036065033e+00 ,3.796504694589193929e-01 ,1.626637155633911425e+00
-1.567911776086469589e+00 ,5.057535740249332612e-01 ,1.402945521305728027e+00 ,2.015875755797532864e+00 ,-9.706414012549636761e-01 ,1.595065503528192430e+00 ,3.053890369469592247e+00 ,-2.180816171975251405e-01 ,-1.692445517463186055e+00 ,-3.089577925082788723e-01 ,-1.823672036752854941e+00 ,-1.315720014034675422e+00 ,-1.897084728712947976e+00 ,-8.235173648274864977e-01 ,1.744230603910611466e+00 ,4.300920026200888979e-01 ,3.382037125634070218e+00 ,-1.240729587627936059e+00 ,4.174868939984485716e-01 ,1.537922916014171193e+00
-1.558112327485929205e+00 ,5.057535740249332612e-01 ,1.402945521305728027e+00 ,2.252029205463482953e+00 ,-7.529364995121087256e-01 ,1.593069728170654509e+00 ,1.693653770450291640e+00 ,-8.296273110303787890e-01 ,-7.028260580222278620e-01 ,3.998129678843854728e-01 ,1.204179308416412741e+00 ,1.065372819332596643e+00 ,-7.683105942366464935e-01 ,-5.541933302851788090e-01 ,6.399284617923923779e-01 ,-1.010170719290604424e+00 ,2.489156449829335482e+00 ,-2.787850190688050400e-01 ,-1.171642936661641210e+00 ,1.833637048079973075e+00
-1.548312878885388821e+00 ,5.057535740249332612e-01 ,8.559207396184062011e-01 ,1.277896225591437229e+00 ,-1.592655406234546600e+00 ,1.586683247026532184e+00 ,2.618257714826083826e-01 ,-1.153386796000712033e+00 ,-1.741926490435233843e+00 ,-8.848340353273184133e-01 ,-9.478472674890172645e-01 ,-7.034389997402350492e-01 ,-1.178773915864392619e+00 ,-1.261168920958735784e+00 ,-3.669352560212787995e-01 ,-1.417201488526236952e+00 ,7.810368961159288581e-01 ,-6.966663459942880332e-02 ,-1.814862153833582736e+00 ,1.759708515063522549e+00
-1.538513430284848216e+00 ,5.057535740249332612e-01 ,1.767628709097275763e+00 ,1.322174997403802399e+00 ,-1.514903655612098721e+00 ,1.574309439809795652e+00 ,8.345569710696821852e-01 ,-9.375471393538222786e-01 ,-1.009243641355783185e-02 ,2.127441696341502819e+00 ,1.404367827105289068e+00 ,7.592323121853751244e-01 ,-5.220326012599983967e-01 ,2.706115255006374953e-01 ,6.724079365605757364e-01 ,-8.849304826027183379e-01 ,7.422159971678963242e-01 ,-6.551981111136832014e-01 ,6.066690166960782005e-01 ,2.158922593352354813e+00
