"EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","YEAR","WR"
50.1,50.9,20.8,19.5,32.1,36.1,36.3,32.1,2013,0.548387096774194
48.3,49.4,22.2,24.9,25.8,30.8,30.7,41.5,2013,0.548387096774194
48.2,46.5,19.6,18.2,26.6,29.8,42.1,38.7,2013,0.53125
48.3,45.3,22.3,21.8,38,35.6,39.2,38.2,2013,0.53125
44.9,43.5,27.1,26,34.4,32.5,35.3,45.3,2013,0.53125
44.5,45.6,16.7,20.2,30.5,35.1,28.9,28.9,2013,0.515151515151515
47.9,47.7,20.8,18,32.8,26.7,40.2,33.9,2013,0.515151515151515
46,46.7,19.5,19.5,28.2,30.3,35.4,34.9,2013,0.515151515151515
45.7,46.7,18.9,23.1,33.5,30.3,44.2,35.7,2013,0.6
50.8,53.2,15.5,22.9,31.8,31.2,35.8,35.6,2013,0.580645161290323
46.8,48.3,20.9,23.3,35.7,31.1,34.5,34.8,2013,0.580645161290323
50.6,46.1,18.7,16.2,31.7,33.2,36.2,23.8,2013,0.5625
50.6,46.6,19.7,19.7,28,33,42.6,34.8,2013,0.5625
49.5,48.2,18.7,21.4,23.7,31.4,39.8,33,2013,0.5625
48.9,51.1,21.7,25.6,31.3,36,35.8,37.1,2013,0.5625
50.5,55.7,18.3,23.9,28.6,33.9,31.9,38.2,2013,0.5625
51.8,48.4,18.7,21,29.5,31.4,34.4,34,2013,0.545454545454545
48.8,47.5,21,21.9,34.9,33.5,32.9,35.7,2013,0.545454545454545
52.7,52.3,18.7,20.6,25.1,32.6,28.2,31.5,2013,0.545454545454545
48.2,48.2,19.8,18.4,37.3,31.3,33.8,32.3,2013,0.529411764705882
49.9,49.7,22,20.6,30.9,36.6,40.4,34.8,2013,0.529411764705882
48.3,51,17.8,21.7,30.3,31.7,29.9,35.3,2013,0.514285714285714
47.5,46.8,17.3,19.2,32.1,28.5,33.4,33.7,2013,0.558823529411765
49.3,45.6,23,22.9,30.6,31.1,45.5,38.8,2013,0.678571428571429
52.4,48.1,20.5,20.2,32.5,31.8,39,33.5,2013,0.655172413793103
51.4,48.9,18.2,18.8,28.3,35.2,39.9,33.5,2013,0.633333333333333
49.2,47,20.5,21.6,34.4,34.8,33.4,38,2013,0.612903225806452
54.4,51.8,19.2,17.6,30.5,29.7,37,30.2,2013,0.612903225806452
47.5,46.9,21.9,22,35,30.5,40.3,41.8,2013,0.612903225806452
49.2,46.8,17.4,19.1,26.4,30.1,29.2,36.5,2013,0.612903225806452
48.4,49.2,16.3,24.6,31.7,33.5,35.1,44.4,2013,0.59375
51.3,48.7,18.3,17.9,33.4,31.4,39.4,33.7,2013,0.59375
48.3,51.7,16.4,22.5,32.5,33,38,40.6,2013,0.575757575757576
46.4,45.8,22.1,22.8,36.2,31.1,36.4,43.9,2013,0.575757575757576
46.3,46.5,18.7,15.9,33.1,32,42,33,2013,0.575757575757576
45.9,46.2,19.1,19.8,37.4,32.3,37.4,33,2013,0.558823529411765
52.5,49.1,18.6,22.8,27,35.8,43.2,43,2013,0.558823529411765
49.9,49.3,20.5,18.7,35.9,31.4,38,27.5,2013,0.558823529411765
47.7,51.6,19,20.6,35.5,27.7,46.7,33.5,2013,0.558823529411765
49.1,45.5,23.3,20.9,30.6,31.8,39.4,38.3,2013,0.558823529411765
48,44.2,18.6,16.3,30.4,31.2,30.2,37.9,2013,0.542857142857143
47.7,44.4,21.5,21.6,33.5,32.2,28.9,45.6,2013,0.542857142857143
50,45.3,18.2,20.1,28.5,36,36.9,31,2013,0.666666666666667
51.6,45.8,19.4,19.4,24.7,27.4,39.8,28.3,2013,0.689655172413793
53,47.6,16.4,20.4,26.9,34,36.4,28.6,2013,0.666666666666667
52,47.8,20.9,15,37.4,27,40.5,30.7,2013,0.666666666666667
47.9,46.2,20.1,17.4,36.5,28.8,42.2,34.4,2013,0.606060606060606
51,52.2,19.8,22.3,31.4,35.7,38.8,29.1,2013,0.606060606060606
51.1,48.8,19,19.7,24.6,26.5,33.2,25.1,2013,0.588235294117647
52.7,50.4,19.6,19.8,34.8,33.1,34.3,32.4,2013,0.588235294117647
48.8,48.5,18.9,20.8,34.5,33.2,43.8,41.3,2013,0.588235294117647
48.5,50.7,16.9,21.5,29.3,29.3,31.1,34.4,2013,0.571428571428571
52.6,43.9,19.4,17.6,34.7,31.2,41.7,30.2,2013,0.636363636363636
49.5,47.4,20.3,18.9,32.4,32.6,35.8,35,2013,0.636363636363636
47.1,46.9,22.3,20.2,36.5,31.1,44.8,39.3,2013,0.636363636363636
48.6,46.7,20.6,20.6,34.3,28.8,44.8,33.8,2013,0.636363636363636
46.2,44.9,21.1,22,33.7,36,40,38.5,2013,0.636363636363636
48.2,46.9,22.3,19.1,35.6,29.1,45.8,35.5,2013,0.617647058823529
56.2,47.3,18.6,26.2,22.7,34.1,31.2,41,2013,0.6875
51.6,45.7,17.2,18.7,33.5,32.8,36.3,33.3,2013,0.611111111111111
52.8,44.4,18.1,18.1,30,25.1,28.4,35.4,2013,0.6875
50.3,46.7,19.5,21.8,29.6,32.6,35.6,40.3,2013,0.647058823529412
47.9,45.7,19.9,22.6,32,32.9,33.9,32.7,2013,0.628571428571429
52.3,46.4,18.5,18.1,28.3,30,35.9,26.6,2013,0.628571428571429
49.5,46.8,20.3,24.3,26.4,29.1,33,43.5,2013,0.628571428571429
48.5,47.3,20.3,21.8,34.7,33.4,35.3,44.5,2013,0.578947368421053
51.6,44.1,18.2,20.9,28.3,27.9,31.6,31.8,2013,0.657142857142857
50.5,42.2,20.5,22.6,34.1,25.9,40.4,35.5,2013,0.821428571428571
54,51.2,17.9,25.5,27.9,38,34.8,43.7,2013,0.696969696969697
50.2,48.1,17,19.3,32.8,27.7,36,37.6,2013,0.657142857142857
46.9,45.8,18.4,20.9,37.1,35.9,41,42.4,2013,0.657142857142857
46.4,44,18.6,19.7,36.6,30.8,40.8,31.2,2013,0.648648648648649
49.6,44.1,18.3,20.5,31.9,27.4,37.7,26.7,2013,0.75
53.6,47.5,18.5,25.5,27.4,34.4,31.3,45.9,2013,0.705882352941177
50.2,45,20.6,15.5,33.3,27.2,38.5,26.9,2013,0.705882352941177
51,50.6,19.2,24.6,31,32.5,37,46,2013,0.685714285714286
50.7,47.5,18.3,21.1,32.8,33.4,37,42,2013,0.666666666666667
51.6,43.6,22.2,15.7,36.9,27.9,34.5,29.7,2013,0.657894736842105
53.1,48.5,22,24.3,38,31.7,36.5,40.6,2013,0.714285714285714
46.5,45.1,17.7,24.6,33.8,33.6,35.5,36.2,2013,0.787878787878788
56,44.4,18.7,16.6,29.6,25.3,39.6,33.6,2013,0.8
39.8,53.7,23.5,21.4,34.9,34,35.3,33.2,2013,0.0714285714285714
41.8,51.4,23.2,16.8,26.5,30.3,33.6,31.4,2013,0.0689655172413793
44.7,55.5,21,21.3,30.7,33.1,37.4,47.6,2013,0.1
42.4,50.3,25.5,16,32.4,34.4,31.5,29,2013,0.0967741935483871
44.9,54,24.4,21.2,27.4,36.6,38.8,41.5,2013,0.181818181818182
48.4,53.5,24.1,21.9,27.3,34.1,31.5,39.6,2013,0.148148148148148
45.3,50.5,22.6,18.1,30.7,27.4,32.5,32.7,2013,0.142857142857143
42.2,49.9,22.8,18.6,35.6,37.5,27.3,36.4,2013,0.142857142857143
46.9,55.3,16.7,21,19.2,36.6,28.2,46.7,2013,0.137931034482759
39.7,50.1,23.3,22.4,33.2,29.6,35.8,51.9,2013,0.137931034482759
50.5,55.9,18.8,16.9,22.1,33.7,24.2,31.6,2013,0.133333333333333
45.4,51,18.8,19.1,29.8,34.6,32.2,47.4,2013,0.178571428571429
42.2,51.5,21.5,22.2,31.6,37.5,39.5,43.1,2013,0.178571428571429
46.2,52.1,19.5,20.8,24.5,34.3,37.5,34.6,2013,0.172413793103448
48.2,53,22,19.1,27.6,34.7,31.6,39.9,2013,0.172413793103448
48.9,53.8,20.8,16.4,22.7,35.3,26.4,34.7,2013,0.172413793103448
45.8,52.6,22.7,17.2,28.4,33.5,35.3,29.2,2013,0.172413793103448
44.9,52.3,20.7,20.4,38.8,33.1,34.6,39.2,2013,0.166666666666667
49.7,53.9,18.2,17.2,31.1,32.8,31.9,33.3,2013,0.230769230769231
50.5,55,23.9,18,30.9,36.2,37.8,28.8,2013,0.214285714285714
51.7,52,23.2,18.1,28.9,35.3,37.4,29.3,2013,0.206896551724138
43,50.5,22.5,22.7,31.6,37.4,32.7,42.2,2013,0.206896551724138
39.2,47.3,23.9,22.9,35.1,34.3,34.1,37,2013,0.206896551724138
45,51.1,22.9,16.3,36.1,32.5,32.6,45.1,2013,0.2
44.6,50.5,21.5,17.6,29,35,36.1,30.2,2013,0.2
42,48.9,22.2,20.6,34.3,34.9,39.3,36.7,2013,0.193548387096774
48.3,54.4,22.7,18.4,28.8,34.6,30.5,34.7,2013,0.193548387096774
47.7,51.6,21.7,21.1,28.5,32,32.8,36.9,2013,0.28
43.3,53.5,21.1,19.3,32.3,32.7,37.7,44.9,2013,0.25
47.1,46.7,25.5,19.8,36.7,29.9,28.8,42.7,2013,0.241379310344828
47,50.2,17.8,19.2,29.2,28.1,33.7,51.9,2013,0.241379310344828
44.4,50.5,21.2,23.5,30.1,33.9,24.6,48.1,2013,0.241379310344828
46.6,51.2,21.3,20.2,28.7,32.9,30.1,44,2013,0.233333333333333
44.1,49.6,18.5,21.6,25.8,34,27.9,38.4,2013,0.233333333333333
42.6,50.1,21,23.3,29,39.2,31.2,37.1,2013,0.225806451612903
47.4,54.5,23,19.3,29.1,30.5,30.3,42.3,2013,0.225806451612903
48.9,52.6,22.5,17.5,26.2,38.5,35.2,35.7,2013,0.225806451612903
45.5,50.7,20.5,21,28.4,30.9,33.4,43.1,2013,0.296296296296296
43.9,45.8,18.6,18.8,28.1,30.5,34.7,36.3,2013,0.285714285714286
50.8,53.3,17.9,15.7,24.2,31.9,37.4,26,2013,0.285714285714286
41.1,48.7,20.2,19,33.3,31.9,36.7,34.2,2013,0.285714285714286
46,48.7,18.8,19.6,28.4,35.5,35.9,40,2013,0.275862068965517
47.9,51.5,20.8,17.3,30.9,33.2,31.7,32.8,2013,0.266666666666667
48.2,54,21.9,23.1,27.5,34.1,36,37.6,2013,0.266666666666667
46.1,48.7,23.7,17,33,34.5,38.1,27.7,2013,0.25
43.5,45.4,18.5,20.2,29.2,34.9,37.3,47.1,2013,0.321428571428571
48.8,49.1,22.4,18.1,31,32.2,30.1,38.2,2013,0.310344827586207
46.6,50.2,21.4,17.5,31.5,32.8,36.7,38,2013,0.310344827586207
49.8,51.2,21.9,18.1,33.2,35.6,32.2,38.2,2013,0.310344827586207
44.4,48.6,21.9,17.2,32,27.8,36.8,57,2013,0.310344827586207
43.8,49.8,21,17.4,31.8,31.9,36.9,36,2013,0.310344827586207
44,49.6,23.3,17.9,33.7,31,36.1,35.8,2013,0.3
45.8,50.1,20,22,30.3,32.5,30.3,41.7,2013,0.3
48.7,52.1,20.2,20.9,30.1,35.1,40,39.3,2013,0.3
44.9,51.9,16.8,19.5,25.8,31.7,34.4,37.9,2013,0.290322580645161
47.7,47.8,23.5,21.4,26.8,32.9,34.4,44.9,2013,0.290322580645161
45.7,54.1,20,21.1,27.1,35.5,31.6,33.5,2013,0.290322580645161
45.1,49.4,22,19.5,33.4,34.5,32.2,38,2013,0.290322580645161
46,49.7,19.7,19.8,29.2,29.9,35.3,43,2013,0.28125
42.3,44.4,22.2,19.1,29.3,36,38.1,47,2013,0.28125
47.6,49.3,17.8,20.1,29,27,33.7,42.4,2013,0.384615384615385
46.8,51.5,20.7,21.9,30.1,30.2,35.4,52.4,2013,0.384615384615385
46.9,51.2,24.2,21.5,35.3,34.6,38.2,45.8,2013,0.37037037037037
48.6,48.1,23,17.9,32.4,33.3,34.3,33.2,2013,0.357142857142857
49.6,50.5,18.9,17.3,25.7,30.1,30.5,27.4,2013,0.357142857142857
47.3,48.2,21.7,17.2,30.4,30.4,33.3,34.3,2013,0.344827586206897
44.2,49,19.5,21.6,32.2,31.9,35.8,39.9,2013,0.344827586206897
51.5,55.7,20.1,17.6,24.5,37.1,28.9,29.1,2013,0.344827586206897
48.3,55,19.8,19.8,30.9,33.1,39.4,34.8,2013,0.333333333333333
47.3,51.3,20.2,15.6,28.5,27,30.9,27.9,2013,0.333333333333333
44.2,49.4,18.9,17.5,30.9,27.1,37.1,51.1,2013,0.32258064516129
48.4,49.9,20.8,18.9,27,33.1,39.6,32,2013,0.32258064516129
43.3,49.7,21.9,20.1,32,32.8,40.6,34.1,2013,0.32258064516129
48.8,48.1,19.3,15.8,29.4,35.3,32,36.2,2013,0.32258064516129
50.7,51.8,21.1,20,26.8,34.4,31.3,36.6,2013,0.32258064516129
44.4,52.9,20.9,25.5,29.8,35.2,32.3,41.5,2013,0.32258064516129
44.6,51.4,20.1,20.9,32.7,32.4,34,40.4,2013,0.3125
44.6,49.9,24.8,22.3,30.5,36.1,40.8,25.8,2013,0.3125
46.9,52.6,20.6,20.4,31,34.4,36.4,34.4,2013,0.3125
47,49.6,21.7,22,37,30.6,35.8,39.1,2013,0.423076923076923
48.1,49.8,18.9,21,25.2,31.7,28.4,35.7,2013,0.407407407407407
43.8,47.3,25,22.6,31.7,33,37.5,41.7,2013,0.407407407407407
46.6,47.1,21.4,18.2,29.3,30.6,36.1,36.7,2013,0.392857142857143
49.2,51.2,17.6,18.6,32,37.2,30.5,30.7,2013,0.392857142857143
47.8,55.5,17,21.1,29.2,30.1,37.3,39.6,2013,0.392857142857143
47.9,50.7,19.8,19.4,33.4,36.6,29.6,40.8,2013,0.392857142857143
44.9,48.8,17.9,19,31.8,37.8,30.3,35.8,2013,0.392857142857143
52.7,51.7,21.2,14.2,33.1,29.2,37.6,30.8,2013,0.379310344827586
51.3,53,20.2,19,31.4,29.7,33.2,33.4,2013,0.379310344827586
46.9,52.2,21.2,21.1,31.9,32.5,30.4,45.2,2013,0.379310344827586
46.7,51.8,23.2,18.6,35.7,32,44.6,44.9,2013,0.379310344827586
45.6,49.6,19.5,18.4,26.4,32,36,42.8,2013,0.379310344827586
44.5,50,18.2,20.9,27.4,35,38.4,39.3,2013,0.379310344827586
47.3,51.8,18.7,18.7,28.9,32,41.8,40.2,2013,0.366666666666667
46.6,48,19.9,20,30.4,31.6,25.8,34.2,2013,0.366666666666667
44.4,47.8,20.7,18.5,33.6,32.8,41.5,34.3,2013,0.366666666666667
48.2,51.6,20.1,20.2,32.7,34.6,30.8,39.2,2013,0.366666666666667
46,53.5,20,18.5,33.9,27.8,43,32.6,2013,0.366666666666667
46.5,52.8,21.5,21.3,32.1,34.3,38.1,41.1,2013,0.354838709677419
50.1,54.1,21.3,21.3,30.2,29.8,34.2,37.6,2013,0.354838709677419
47.4,51.5,19.8,21.5,31.7,35.7,31.7,36.2,2013,0.34375
48,49.1,19.8,15.2,26.2,27,27.6,33,2013,0.34375
48.7,53.2,20.5,20.2,27,30.7,31.4,38.8,2013,0.34375
47.8,51.2,19.3,20.7,26.9,33.7,36.5,37.7,2013,0.333333333333333
45.8,45.1,21.5,21.2,33.8,31.9,41.3,41.7,2013,0.48
47.6,49.5,21.6,18.5,30.5,27.1,34.3,34,2013,0.444444444444444
45.8,50.4,17.8,19,30.1,31.2,37.2,27.7,2013,0.444444444444444
47.4,49.5,20.8,22,27,35.8,39.4,35.9,2013,0.428571428571429
46.5,52,22.2,20.4,35,29.8,42.9,40.3,2013,0.413793103448276
53.6,48.9,20,16.1,28.5,32.4,37.6,30.1,2013,0.413793103448276
46.6,54.7,19.1,22.2,35.9,31,38.5,39.8,2013,0.413793103448276
53.6,54.1,18.1,22.8,25,37.2,35.5,36.6,2013,0.4
48.4,50.8,18.2,19.8,34.3,33.9,31.6,37.8,2013,0.4
47.4,52.8,19.6,20.6,28.2,28.3,30.7,37.4,2013,0.4
46.1,50.3,21.5,20.2,33,32,36.3,39.5,2013,0.4
44.6,47.3,17.7,19.6,30.3,34.5,29.2,30.5,2013,0.387096774193548
48.1,49.8,22.9,19.2,37.6,36.1,45,38.4,2013,0.387096774193548
47.7,47.7,20.1,15.5,28.3,30.1,29.6,31.2,2013,0.387096774193548
50.6,48.3,22.1,18.6,31,38.1,29.7,36.5,2013,0.387096774193548
47.6,49.9,18.9,20.4,34.6,35.1,30.9,47.1,2013,0.387096774193548
44.2,47.6,20.3,22.2,25.9,27,27.9,38.3,2013,0.387096774193548
45.9,49.7,20.1,20.5,30.9,34.4,35.4,37,2013,0.387096774193548
41.3,46.9,21.6,21.1,38.6,33.4,32.6,43.7,2013,0.387096774193548
50.4,47.2,23.7,17.1,35.1,32.5,38.5,36.8,2013,0.375
48.6,48.8,19.6,20.8,29.1,35.2,35.1,43.3,2013,0.375
45.9,51,18.4,22.4,31.3,32.1,39,46.8,2013,0.375
45.3,51,16.5,19.1,30.7,33,24.5,36.6,2013,0.363636363636364
52.9,47.3,17.9,21.1,23.3,28.4,48.1,30.6,2015,0.75
51.2,48.1,14.3,16.1,28.3,25.8,37.4,25,2016,0.777777777777778
51,49.2,16.3,21.4,33.2,27.7,32.2,36.8,2016,0.694444444444444
50.8,45,16.4,19.4,32.8,29.7,39.2,45,2017,0.714285714285714
51.1,50.4,15.3,22.6,31,28.2,30.1,40.6,2018,0.764705882352941
50.6,42.3,15.7,17.9,34.3,24.2,34.9,28.6,2015,0.882352941176471
54.8,47.4,16.3,17.3,31.7,29.8,39.3,31.2,2017,0.756756756756757
53.7,47.9,16.4,19.5,33.8,29.8,38.4,37.3,2017,0.742857142857143
51.4,45.7,16,19.6,36.7,28.5,34,38.8,2017,0.735294117647059
53.6,49.1,14,18.7,27.3,30.8,28.6,26.7,2017,0.722222222222222
52.4,46.1,15.6,20.7,28.3,24.5,26,33.8,2017,0.676470588235294
52,50.1,16.7,16.3,37.4,25.5,28,26,2018,0.702702702702703
52.2,51.6,17.2,20.7,25.9,28.3,30.2,30.8,2018,0.757575757575758
49.5,44.1,21,19.9,37.3,32.3,37.1,26.1,2015,0.676470588235294
51.5,44.5,16.3,18.2,28.6,29.1,29.6,35.4,2016,0.694444444444444
52,45.2,15.3,20.2,35.5,29.4,32.5,29.1,2017,0.833333333333333
51.2,43.3,17,21.6,38.5,28.2,36,26.8,2018,0.861111111111111
53.3,45.5,17.5,19.1,33.8,25.8,32.6,41.6,2018,0.771428571428571
52.9,45.4,17.6,18,29.5,29.6,45.3,29.2,2019,0.727272727272727
48.1,45.6,17.1,18.9,35.6,30.3,38,29.1,2015,0.647058823529412
51.2,45.5,18.9,17.2,28.9,30.5,44.5,28.1,2015,0.8
54.2,46.4,17,21.6,33.5,32,34.7,27.8,2015,0.685714285714286
51.3,48,14.8,18.8,31.9,31.3,33,25,2016,0.666666666666667
54,46.7,20.5,15.9,29.2,27.3,33.5,34.7,2017,0.571428571428571
49.7,46.1,16,17.9,30.8,30.6,30.5,36.1,2017,0.666666666666667
56.9,42.7,19.2,14.6,37,26.6,35.9,30.7,2018,0.857142857142857
54.1,48.7,17.1,17.9,30.2,25.2,31.1,29.5,2018,0.735294117647059
52.7,51.5,17.2,18.4,29.8,29.4,42.3,28.8,2019,0.657142857142857
51.4,45.9,19.4,14.1,34.1,24.8,32.8,26.6,2019,0.676470588235294
48.2,49.5,17.1,16.9,31.4,28.4,41.6,28.2,2019,0.611111111111111
50.3,48.3,18.7,18.2,27.6,25.9,33.7,31.8,2019,0.571428571428571
49.4,44.6,19.2,17.5,34.9,31.6,42.6,33.8,2015,0.75
55,49,14.1,19.5,25.7,31.6,27.6,25.6,2017,0.685714285714286
51.2,49.1,19.7,18.6,37.9,29.4,32.3,36.5,2019,0.588235294117647
52.6,47.8,18.8,18.2,30.1,27.9,32.5,27.8,2019,0.722222222222222
50.4,47.5,17,17.3,25.8,27.8,31.3,23.1,2019,0.588235294117647
48.4,46.7,17,19.5,34.7,25.3,40.8,33.4,2015,0.676470588235294
51.3,47.1,19.2,20.2,34.3,31,43.9,44.1,2015,0.666666666666667
55.3,45.5,16.3,21.6,32.5,31.2,41.8,30.4,2015,0.916666666666667
52.6,49.7,14.5,18.6,32.2,27.5,39.3,35.8,2016,0.666666666666667
48,49.3,16.1,20.6,30.4,30.3,37.3,28,2016,0.685714285714286
51.4,47.8,17.4,19.3,35.2,26,41.7,33.6,2016,0.823529411764706
57.5,48.1,17.1,20.1,30.2,27.8,35,22.1,2017,0.888888888888889
54,51.9,15.7,19.5,27.6,24.6,26.1,35.3,2018,0.6
52.9,50.3,17.8,17.7,34.3,28.4,35.2,29.8,2018,0.647058823529412
55.9,49.9,17.2,15.7,30.2,23.1,41,25.6,2018,0.828571428571429
53.2,50.4,16.9,18,30.3,27.7,34.4,28.2,2019,0.722222222222222
55.9,48.9,17.2,20.5,25.2,26.4,26.7,32.7,2019,0.878787878787879
51.9,44.9,18.1,19.8,30.4,26.4,45.4,40.2,2016,0.8125
51.3,44.1,17.5,16.7,33.7,27,28.7,33,2019,0.861111111111111
47.6,47.6,20.1,19.7,34.2,33.1,35.7,33.6,2015,0.542857142857143
51.7,49.4,17.1,19.4,28.7,25.7,34.9,42.4,2016,0.696969696969697
54.1,47.9,15.6,19.8,30.1,23.8,30,38.2,2017,0.885714285714286
54.7,49.9,17.2,18.4,22.4,32.3,33.1,28.9,2018,0.714285714285714
52.2,46.7,19.9,17.8,39.3,24.3,41.7,33.3,2016,0.758620689655172
54.8,48.8,16.5,18.1,31.9,29.1,29.9,39.5,2018,0.771428571428571
53.4,47.3,16,20.3,31.7,26.9,32.7,31.9,2019,0.914285714285714
55.9,45.6,17.8,19.2,27,26.9,39.8,27,2015,0.885714285714286
53.2,48.7,15.2,18.5,17.7,27.4,34.1,24.8,2016,0.628571428571429
48.9,44.7,14.7,23.2,31.7,23.6,37.4,45.4,2016,0.735294117647059
54.2,43.8,16.2,19.3,34.2,24.2,40.4,35.1,2017,0.885714285714286
46.6,43.5,18.6,21.1,35.7,29.7,36.2,25.7,2015,0.742857142857143
54.8,46.5,17.2,19.4,32,30.7,33.5,27.4,2019,0.903225806451613
52.3,48,16.9,16.7,30.2,31.5,29.1,35.4,2015,0.714285714285714
55.1,48,18.2,15.3,29.2,27.8,37.9,23,2016,0.742857142857143
52.2,50.1,15.7,17.9,31,31.4,36.8,24,2017,0.722222222222222
52.1,47.5,19.8,24.2,29.1,34.9,34.7,34,2019,0.75
52,45.8,16.3,23.2,30,34.8,37.7,39.8,2015,0.705882352941177
51.9,45.9,15.6,21,26.7,29.5,31.5,38.3,2016,0.848484848484849
57.5,49.9,16.1,19.1,31.8,25.2,27.8,31.8,2019,0.9375
50,48.3,16.9,22.3,35.7,34.6,37.3,38.8,2015,0.75
53.5,44.5,16.2,18,37.5,31.9,37.8,40.8,2016,0.75
51.4,47.8,16.6,18.5,31.9,34.2,38.1,39.1,2017,0.722222222222222
51.9,47.8,20.3,18.7,29.4,30.9,41.9,36.5,2018,0.555555555555556
50.8,49.7,16.4,20.7,32.1,28,39.8,38.1,2018,0.764705882352941
50.8,48.7,14.3,20,28.7,30.5,32.6,32.4,2018,0.617647058823529
50.8,46.7,17.9,20.4,33.4,31.1,35.5,37.6,2018,0.742857142857143
49.8,48.1,17.9,22.4,30.6,32.2,29.9,33.6,2019,0.555555555555556
54.8,49.5,17.7,25.9,33.5,30.7,34.3,40.2,2016,0.8
57.8,45.3,17.5,15.3,33.1,21.9,27.8,26.6,2017,0.852941176470588
52.4,44.7,16.2,18.2,35,26.2,46.9,35.7,2014,0.971428571428571
54.2,47.1,19.1,16.4,37.3,28.8,48.3,45.5,2014,0.714285714285714
53.6,46.3,17.3,20,32.6,28.7,44.5,38.6,2014,0.852941176470588
58.9,48.5,15,14.8,27.7,27.8,33.9,33,2014,0.771428571428571
48.2,48,14.8,21.9,38.1,31.5,38.2,36.7,2014,0.823529411764706
49.6,44.4,18.6,21,28.8,29,40.3,35.6,2014,0.787878787878788
49.9,47,16.9,19.3,38.1,31.3,42.9,41.4,2014,0.705882352941177
53.5,49.1,16.1,18.9,32.2,31.9,43.8,47.8,2014,0.705882352941177
47.4,46.5,17.5,16.3,39.6,30.2,43.4,41,2014,0.685714285714286
55.2,44.6,17.4,17.4,30.6,29.5,41.2,38.6,2014,0.8
51.9,48.4,18.6,20.3,35.8,33.3,39.5,33.8,2014,0.696969696969697
50.7,46.7,16.3,19.2,37.2,29,44.3,36.4,2014,0.722222222222222
52.1,46.2,17.6,21.1,32.3,29.3,48.4,36.3,2014,0.838709677419355
54.5,49.8,15.6,17.1,30.6,27.9,41.6,40.2,2014,0.766666666666667
52.3,50.5,16.9,23.6,38.2,28.9,39.9,50.7,2014,0.909090909090909
54,46.8,17.5,19,32,31.1,37.3,41,2014,0.727272727272727
54.9,44.9,17.2,20.8,37.8,29.8,40.8,29.9,2013,0.911764705882353
50.4,45.5,17.6,23.6,27.9,29.1,44,35,2013,0.8
51.3,49.9,16.9,28.5,36.6,34.7,29.8,40.3,2013,0.75
50.7,46.7,20.2,17.4,35.9,26.3,38.4,36.1,2013,0.742857142857143
52.4,45.5,20.7,22.1,35.6,31.1,37.2,34.9,2013,0.861111111111111
48.5,44.7,18.1,18.2,31.8,27.9,35.3,28.9,2013,0.65625
47.5,48.7,17.6,21.7,33.6,33,31,36,2013,0.617647058823529
58.2,45.9,18.9,16.1,28.8,27.2,34.2,26.1,2013,0.777777777777778
49.2,48.6,17.2,16.5,41.4,23.2,44.1,36.4,2013,0.727272727272727
49.3,48,17.2,21.5,34.6,31.6,28.2,27.1,2013,0.685714285714286
49,49,15.9,20.1,30.8,31.4,35.6,34.1,2013,0.705882352941177
53.8,48,18.5,18.6,34.2,28.5,33,32.7,2013,0.657142857142857
49.3,45.6,21.6,20.2,43.6,33.2,41.6,36.7,2013,0.617647058823529
48,44.3,18.9,16.8,32.5,30.7,31.2,32.5,2013,0.636363636363636
49.1,46.4,15.9,21.5,34.1,31.8,38.8,31.1,2013,0.75
54.3,49.2,20.8,20.9,25.6,31.4,49.6,31.2,2013,0.655172413793103
55.4,49.3,14.1,17,29.6,30.4,28.5,34.6,2015,0.741935483870968
48.7,49.5,15.7,23.5,31.8,30.6,37.3,37.8,2015,0.722222222222222
51.6,46.9,18.6,18,28.7,24.2,40.8,32.8,2016,0.757575757575758
53.6,47.7,16.9,20.9,25.6,27.4,43.4,35.2,2017,0.774193548387097
51,47.5,17.8,21,31.3,27.5,36.4,40.9,2017,0.742857142857143
57.4,51.2,14.5,16.2,22.6,23.4,24.6,29.6,2018,0.636363636363636
51.6,49,16.3,20.4,29.3,29.1,40.5,38.4,2018,0.764705882352941
46.7,46.9,19.3,19.4,36,25.1,39.4,33.5,2019,0.638888888888889
50.1,43.5,20,23.4,31,30.6,35.7,36.6,2019,0.757575757575758
51.1,50,17.5,16.9,36.9,27.5,36.1,32.4,2016,0.625
51,47.6,19.5,18.3,33.4,28.2,34.3,28.7,2017,0.636363636363636
56.9,51,17.2,16.5,23.4,30.5,40.9,27.3,2017,0.666666666666667
53.1,49,16.8,18.8,29.1,28.2,29.1,28.1,2018,0.6875
53.4,51.6,16.8,20.4,33.4,32,34.2,33.7,2018,0.636363636363636
52.7,44.3,14,20.9,27,25.6,24.5,26.2,2018,0.911764705882353
57.7,50.4,17,18.6,23.9,29.4,36.5,29.4,2018,0.636363636363636
50.9,46.7,17.5,16.1,29.1,25.9,34.9,32,2019,0.588235294117647
49.6,48.1,18.5,23.1,30.2,33.4,36.8,34.3,2019,0.588235294117647
49.9,49.6,18.8,20.1,32.6,26,39,30.4,2015,0.727272727272727
52.2,47.6,17.3,18.4,34.8,26,32.2,27.6,2016,0.774193548387097
55.3,48.6,17,19.6,29.8,27.1,34.3,26.5,2017,0.852941176470588
52.6,48.7,16.8,19.1,27.3,22.2,35.9,27.5,2019,0.818181818181818
