"EFG_O","EFG_D","TOR","TORD","ORB","DRB","FTR","FTRD","YEAR","WR"
48.5,48.4,17.5,16.6,28.6,31.5,35,29.4,2019,0.451612903225806
50.7,47.6,19.7,19.8,27.8,24.5,33.5,30,2019,0.588235294117647
49.2,45.7,21,18.7,25.3,31.6,34.3,34.8,2019,0.4375
50.8,52,16.9,19.8,25.9,29.8,30.8,22.7,2019,0.4375
52,49.4,17.3,21.5,36,28.8,28.5,38.8,2019,0.666666666666667
46.2,49,14,16.4,29,31.1,30.1,21.8,2019,0.424242424242424
47.9,47.7,19.6,21.3,32.1,32.8,42.3,32.9,2019,0.424242424242424
44.8,53.3,19.4,16.1,33.9,27.3,37.6,35.2,2019,0.354838709677419
44.6,52.3,21.6,20.4,26.2,32.5,39.8,33.8,2015,0.166666666666667
47.3,50.4,19,20.9,25.3,29.5,29.8,42.1,2015,0.448275862068966
46.7,55.8,21.6,19,23.5,31.7,27.7,36.6,2015,0.1
49.7,46,18.7,17.1,27.2,23.7,36.1,42.6,2015,0.566666666666667
46,46,18.6,17.7,37.1,25.4,32.4,32.2,2015,0.636363636363636
47.9,53.9,20.5,23.3,21.6,30.4,34.3,34.1,2015,0.392857142857143
46.3,51.2,24.1,19.7,23.5,30.5,37.2,33,2015,0.133333333333333
51.9,43.4,20.1,20.1,26.7,29,42.4,40.4,2015,0.575757575757576
50.7,48.7,18.4,18.7,34.8,25.6,43.3,27.2,2016,0.71875
44.1,49.6,20.7,18.2,25.3,28.5,36.2,34.4,2016,0.266666666666667
49.1,53.3,16.3,18.5,18.9,35.8,33.2,41.1,2016,0.28125
49.2,55.5,20.8,21,27.9,32.3,32,38,2016,0.266666666666667
46.7,50.2,16.8,15.1,29.5,21.7,36.6,34.5,2016,0.580645161290323
53.6,54.5,21.3,19.2,25.1,32.9,33.2,38.4,2016,0.357142857142857
50.1,56.6,17.4,19.4,24.9,28.9,42.2,38.8,2016,0.21875
54.1,49.3,19.2,16.7,28.5,28.2,38.2,37.4,2016,0.611111111111111
51.7,51.2,18.3,17.5,33,23.6,33.4,31.4,2017,0.617647058823529
48.8,52.2,18.6,17.1,23.5,28.2,30.8,32.2,2017,0.413793103448276
47.5,51.9,20.4,18.4,24.7,34.3,32.6,34.9,2017,0.28125
45.5,53,19.1,16.6,26.9,28.8,29.6,33.5,2017,0.225806451612903
50.2,49.9,18.3,14.6,27.2,21.7,34.1,29.3,2017,0.689655172413793
47.1,50.7,15.2,19.7,29.5,28.8,32.8,40.1,2017,0.5625
54.7,53.4,20.8,17.8,27.1,30.7,31.5,38.1,2017,0.366666666666667
54,52.4,16.3,17.7,24.4,27.3,35,35.1,2017,0.65625
50.5,50.6,17.5,17,34.6,24.3,37,27.1,2018,0.709677419354839
49.7,51.6,18.3,17,25.9,26.7,30,32.4,2018,0.379310344827586
52.7,51.1,18.1,18.1,24.9,28.5,31.2,33.4,2018,0.59375
46,51.4,21.8,18.1,25.5,30.7,29.2,36.7,2018,0.2
46.3,50.8,17.4,13.7,28.4,21.4,30.5,41.5,2018,0.344827586206897
47.9,50.5,20,20.8,30.5,28.2,32,41.8,2018,0.419354838709677
52.1,55.4,18.7,20.3,26.3,32.5,39.2,33.5,2018,0.413793103448276
55.9,50.6,16.9,16.8,26,22.6,41.8,25,2018,0.794117647058823
49.3,52.1,20.9,18.5,27.3,28.3,32.5,30.2,2019,0.387096774193548
49.5,52.3,18.5,16.7,20.9,31.7,24.3,25.2,2019,0.32258064516129
54.2,52.6,17.8,19.3,25.3,31,33.1,29.9,2019,0.5625
48.6,55.3,22.2,19.1,25.9,27.2,25.6,38.6,2019,0.161290322580645
44,51.5,18.4,16.9,21.5,24.7,21.9,38,2019,0.185185185185185
48.1,46,20.7,18.6,33.2,26.1,35.4,36.2,2019,0.75
53.7,52,19.6,17.9,27,29.8,34.1,32.6,2019,0.5
48.4,51.4,18.3,22.9,24.5,24.4,31.1,32.9,2019,0.67741935483871
50,45.2,18.6,17.9,30.2,30.5,32.3,32.6,2015,0.571428571428571
48.4,50.9,18,19.2,28.2,34.7,29.9,34.1,2015,0.387096774193548
46.5,49.1,20.5,19.9,33.6,33.7,31.5,33.2,2015,0.40625
48.4,44.4,20.2,19.2,37,31.6,31.6,38.7,2015,0.5625
47.3,49.1,20.9,18.8,31.3,34.8,31.6,42.5,2015,0.258064516129032
44.2,44.5,14.6,18.8,31.8,29.2,35.6,33.5,2015,0.702702702702703
46.4,49.9,19.9,20.3,32.6,29.3,34.7,36.1,2015,0.466666666666667
47.1,45.5,17.7,19.7,30.8,28.5,41.4,30.9,2015,0.696969696969697
49.1,51.3,19.7,15.8,30.7,36.8,35.1,27.2,2015,0.379310344827586
49,51.2,19.4,18.4,28.8,32.3,34.6,26.8,2016,0.375
52.2,47.3,15.4,18.4,35.8,33.3,34.4,36,2016,0.6875
46.1,44.9,16.4,18.9,32.4,29.6,41.9,38.4,2016,0.558823529411765
55.3,46.6,18.8,18.3,41.2,28.5,33.8,30.4,2016,0.833333333333333
45.4,47.2,21.9,14.3,34.6,32.5,33,35.6,2016,0.242424242424242
45.4,48.4,19.5,18.4,32.1,29.8,31.3,36.2,2016,0.382352941176471
49.2,47.1,21.3,13.4,31.3,30.5,37.2,25.1,2016,0.4
48.5,45.6,18.7,16.1,29.9,30.5,34.5,32,2017,0.5
45.8,44.7,20.8,17,30.7,31.1,37.4,27.2,2017,0.454545454545455
51.7,47.1,14.9,20.7,31.8,30.7,28.6,36.8,2017,0.6875
48.9,48.8,16.3,19.3,31.6,30.6,36.7,33.2,2017,0.59375
47.7,51,23.5,19.1,30.6,34,30.7,40.1,2017,0.233333333333333
49.7,49.1,16.6,18.3,27.5,32.2,26.4,32.1,2017,0.5
46.4,53.7,18.8,19.7,29.3,32.5,34.3,40.8,2017,0.193548387096774
48.9,50.4,21.8,18.4,29.5,28.3,42.8,33.1,2017,0.46875
50.4,42.7,22,14.7,32.6,25.5,39.9,22.3,2017,0.666666666666667
47.5,51.1,18.5,18.3,29.4,32.7,32.4,33.9,2018,0.4375
48.3,51.5,20.6,17.3,27.8,32.5,28.7,31.1,2018,0.333333333333333
50.7,50.8,20.4,18.9,35.1,33.7,43.6,32.4,2018,0.617647058823529
52,49.5,18,21.7,32.7,31.7,30.5,30.6,2018,0.515151515151515
48,51.1,21.4,16.5,28.8,30.6,33.1,32.6,2018,0.3125
49.3,49.8,15.9,18.7,27.7,32.4,25.6,31.5,2018,0.515151515151515
51.5,50.5,18.8,17.2,27.5,30,34.5,34.6,2018,0.451612903225806
50.7,49.5,18.6,17.9,32,29.6,41.6,25.3,2018,0.612903225806452
47.8,45.7,20.7,18.9,28.5,28.6,43.1,26.2,2018,0.59375
51,49.6,18.5,20,32.3,30.2,32.7,39.2,2019,0.484848484848485
46.1,51,19,19.5,28.2,31,35.6,41.8,2019,0.32258064516129
51,48.6,19.8,21.3,33.4,30.9,37.3,37.5,2019,0.611111111111111
51.2,50,16.6,17.5,33.4,31.6,27.8,29.5,2019,0.46875
49.1,48.4,22.6,21.9,36.3,26.8,48.1,43.1,2019,0.648648648648649
47.1,50.6,21,15.1,27,30.9,32.8,31.6,2019,0.129032258064516
51.2,48.1,18,17.6,23,29.4,43.4,30.3,2019,0.5625
46.9,47.6,17.4,17.6,32.5,26.9,28.8,38.8,2019,0.594594594594595
48.2,45.3,17.7,17.3,34.4,32.1,33.1,34.6,2015,0.633333333333333
46.6,54.5,18.6,19.1,27.7,33.8,39.3,38.8,2015,0.241379310344828
45.3,50.7,21.3,16.2,29.6,35.1,29.8,35.7,2015,0.266666666666667
48.1,54.1,18.7,17.8,29.2,29.4,39.7,47,2015,0.392857142857143
51.2,50.6,17.8,16.6,28.5,30,30,45.3,2015,0.392857142857143
48.1,51.6,18.3,16.4,26.1,35.1,34.1,31.5,2015,0.214285714285714
49.5,47.1,16.9,20.3,35.2,33.5,30.4,30.3,2015,0.625
49.7,53.6,15.4,17.4,27,26.1,31.4,33.5,2016,0.428571428571429
48.7,53.2,18.5,18,28.3,34.6,33.5,39,2016,0.310344827586207
51.5,52.9,18.6,17.7,26.9,30.2,34.7,35.8,2016,0.32258064516129
51.8,51.3,18.2,19.2,26.8,31.1,33.7,35.7,2016,0.558823529411765
57.9,51.8,15.3,14.4,24.1,33.4,28.7,27.1,2016,0.612903225806452
51.2,54.5,16.8,15.7,25.2,32.9,33.8,30.8,2016,0.266666666666667
50.1,54.6,20.2,15.1,33.1,31.9,30.9,36.6,2016,0.25
53.8,56.6,18.5,20.9,26.3,28.5,34.6,36.8,2017,0.586206896551724
51.3,53.8,18.9,17.5,31.1,28.5,30.6,36.2,2017,0.466666666666667
55,52,20.1,20.3,28.3,30.9,41.2,44.2,2017,0.666666666666667
48.7,55.2,19.7,18.4,30.5,25.2,33.3,36.3,2017,0.379310344827586
51.3,52.7,22.2,16.7,33.3,31.8,34.9,35,2017,0.5
49.9,52.9,14.9,15.1,21.1,33,32.6,32.2,2017,0.379310344827586
52.4,50.7,17.9,14.5,30.2,30.2,31.9,29.9,2017,0.586206896551724
55.3,49.9,19.5,18.9,31.3,26.7,33.4,35.1,2018,0.71875
