TEAM,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,YEAR,WR
VMI,49.2,51.2,17.6,18.6,32,37.2,30.5,30.7,2013,0.393
Montana St.,47.8,55.5,17,21.1,29.2,30.1,37.3,39.6,2013,0.393
Central Arkansas,47.9,50.7,19.8,19.4,33.4,36.6,29.6,40.8,2013,0.393
McNeese St.,44.9,48.8,17.9,19,31.8,37.8,30.3,35.8,2013,0.393
Idaho,52.7,51.7,21.2,14.2,33.1,29.2,37.6,30.8,2013,0.379
Northern Colorado,51.3,53,20.2,19,31.4,29.7,33.2,33.4,2013,0.379
Cleveland St.,46.9,52.2,21.2,21.1,31.9,32.5,30.4,45.2,2013,0.379
Lipscomb,46.7,51.8,23.2,18.6,35.7,32,44.6,44.9,2013,0.379
Southeastern Louisiana,45.6,49.6,19.5,18.4,26.4,32,36,42.8,2013,0.379
Jackson St.,44.5,50,18.2,20.9,27.4,35,38.4,39.3,2013,0.379
Nevada,47.3,51.8,18.7,18.7,28.9,32,41.8,40.2,2013,0.367
Bowling Green,46.6,48,19.9,20,30.4,31.6,25.8,34.2,2013,0.367
North Texas,44.4,47.8,20.7,18.5,33.6,32.8,41.5,34.3,2013,0.367
Campbell,48.2,51.6,20.1,20.2,32.7,34.6,30.8,39.2,2013,0.367
Chattanooga,46,53.5,20,18.5,33.9,27.8,43,32.6,2013,0.367
Texas Tech,46.5,52.8,21.5,21.3,32.1,34.3,38.1,41.1,2013,0.355
Eastern Illinois,50.1,54.1,21.3,21.3,30.2,29.8,34.2,37.6,2013,0.355
DePaul,47.4,51.5,19.8,21.5,31.7,35.7,31.7,36.2,2013,0.344
Colgate,48,49.1,19.8,15.2,26.2,27,27.6,33,2013,0.344
Northern Arizona,48.7,53.2,20.5,20.2,27,30.7,31.4,38.8,2013,0.344
Texas St.,47.8,51.2,19.3,20.7,26.9,33.7,36.5,37.7,2013,0.333
NJIT,45.8,45.1,21.5,21.2,33.8,31.9,41.3,41.7,2013,0.480
Brown,47.6,49.5,21.6,18.5,30.5,27.1,34.3,34,2013,0.444
Sacramento St.,45.8,50.4,17.8,19,30.1,31.2,37.2,27.7,2013,0.444
UT Rio Grande Valley,47.4,49.5,20.8,22,27,35.8,39.4,35.9,2013,0.429
Yale,46.5,52,22.2,20.4,35,29.8,42.9,40.3,2013,0.414
William & Mary,53.6,48.9,20,16.1,28.5,32.4,37.6,30.1,2013,0.414
Cal St. Northridge,46.6,54.7,19.1,22.2,35.9,31,38.5,39.8,2013,0.414
Cal St. Fullerton,53.6,54.1,18.1,22.8,25,37.2,35.5,36.6,2013,0.400
St. Francis NY,48.4,50.8,18.2,19.8,34.3,33.9,31.6,37.8,2013,0.400
Cornell,47.4,52.8,19.6,20.6,28.2,28.3,30.7,37.4,2013,0.400
Jacksonville,46.1,50.3,21.5,20.2,33,32,36.3,39.5,2013,0.400
South Florida,44.6,47.3,17.7,19.6,30.3,34.5,29.2,30.5,2013,0.387
Marshall,48.1,49.8,22.9,19.2,37.6,36.1,45,38.4,2013,0.387
Holy Cross,47.7,47.7,20.1,15.5,28.3,30.1,29.6,31.2,2013,0.387
North Florida,50.6,48.3,22.1,18.6,31,38.1,29.7,36.5,2013,0.387
Western Carolina,47.6,49.9,18.9,20.4,34.6,35.1,30.9,47.1,2013,0.387
Wofford,44.2,47.6,20.3,22.2,25.9,27,27.9,38.3,2013,0.387
Georgia Southern,45.9,49.7,20.1,20.5,30.9,34.4,35.4,37,2013,0.387
Prairie View A&M,41.3,46.9,21.6,21.1,38.6,33.4,32.6,43.7,2013,0.387
Buffalo,50.4,47.2,23.7,17.1,35.1,32.5,38.5,36.8,2013,0.375
Louisiana Lafayette,48.6,48.8,19.6,20.8,29.1,35.2,35.1,43.3,2013,0.375
Bethune Cookman,45.9,51,18.4,22.4,31.3,32.1,39,46.8,2013,0.375
Troy,45.3,51,16.5,19.1,30.7,33,24.5,36.6,2013,0.364
Dayton,52.9,47.3,17.9,21.1,23.3,28.4,48.1,30.6,2015,0.750
Saint Joseph's,51.2,48.1,14.3,16.1,28.3,25.8,37.4,25,2016,0.778
VCU,51,49.2,16.3,21.4,33.2,27.7,32.2,36.8,2016,0.694
Rhode Island,50.8,45,16.4,19.4,32.8,29.7,39.2,45,2017,0.714
Rhode Island,51.1,50.4,15.3,22.6,31,28.2,30.1,40.6,2018,0.765
Virginia,50.6,42.3,15.7,17.9,34.3,24.2,34.9,28.6,2015,0.882
Duke,54.8,47.4,16.3,17.3,31.7,29.8,39.3,31.2,2017,0.757
Florida St.,53.7,47.9,16.4,19.5,33.8,29.8,38.4,37.3,2017,0.743
Louisville,51.4,45.7,16,19.6,36.7,28.5,34,38.8,2017,0.735
Notre Dame,53.6,49.1,14,18.7,27.3,30.8,28.6,26.7,2017,0.722
Virginia,52.4,46.1,15.6,20.7,28.3,24.5,26,33.8,2017,0.676
North Carolina,52,50.1,16.7,16.3,37.4,25.5,28,26,2018,0.703
UMBC,52.2,51.6,17.2,20.7,25.9,28.3,30.2,30.8,2018,0.758
Cincinnati,49.5,44.1,21,19.9,37.3,32.3,37.1,26.1,2015,0.676
Connecticut,51.5,44.5,16.3,18.2,28.6,29.1,29.6,35.4,2016,0.694
Cincinnati,52,45.2,15.3,20.2,35.5,29.4,32.5,29.1,2017,0.833
Cincinnati,51.2,43.3,17,21.6,38.5,28.2,36,26.8,2018,0.861
Houston,53.3,45.5,17.5,19.1,33.8,25.8,32.6,41.6,2018,0.771
UCF,52.9,45.4,17.6,18,29.5,29.6,45.3,29.2,2019,0.727
Iowa,48.1,45.6,17.1,18.9,35.6,30.3,38,29.1,2015,0.647
Maryland,51.2,45.5,18.9,17.2,28.9,30.5,44.5,28.1,2015,0.800
Ohio St.,54.2,46.4,17,21.6,33.5,32,34.7,27.8,2015,0.686
Iowa,51.3,48,14.8,18.8,31.9,31.3,33,25,2016,0.667
Michigan St.,54,46.7,20.5,15.9,29.2,27.3,33.5,34.7,2017,0.571
Northwestern,49.7,46.1,16,17.9,30.8,30.6,30.5,36.1,2017,0.667
Michigan St.,56.9,42.7,19.2,14.6,37,26.6,35.9,30.7,2018,0.857
Ohio St.,54.1,48.7,17.1,17.9,30.2,25.2,31.1,29.5,2018,0.735
Iowa,52.7,51.5,17.2,18.4,29.8,29.4,42.3,28.8,2019,0.657
Maryland,51.4,45.9,19.4,14.1,34.1,24.8,32.8,26.6,2019,0.676
Minnesota,48.2,49.5,17.1,16.9,31.4,28.4,41.6,28.2,2019,0.611
Ohio St.,50.3,48.3,18.7,18.2,27.6,25.9,33.7,31.8,2019,0.571
Kansas,49.4,44.6,19.2,17.5,34.9,31.6,42.6,33.8,2015,0.750
Iowa St.,55,49,14.1,19.5,25.7,31.6,27.6,25.6,2017,0.686
Baylor,51.2,49.1,19.7,18.6,37.9,29.4,32.3,36.5,2019,0.588
Kansas,52.6,47.8,18.8,18.2,30.1,27.9,32.5,27.8,2019,0.722
Oklahoma,50.4,47.5,17,17.3,25.8,27.8,31.3,23.1,2019,0.588
Butler,48.4,46.7,17,19.5,34.7,25.3,40.8,33.4,2015,0.676
Georgetown,51.3,47.1,19.2,20.2,34.3,31,43.9,44.1,2015,0.667
Villanova,55.3,45.5,16.3,21.6,32.5,31.2,41.8,30.4,2015,0.917
Butler,52.6,49.7,14.5,18.6,32.2,27.5,39.3,35.8,2016,0.667
Providence,48,49.3,16.1,20.6,30.4,30.3,37.3,28,2016,0.686
Xavier,51.4,47.8,17.4,19.3,35.2,26,41.7,33.6,2016,0.824
Villanova,57.5,48.1,17.1,20.1,30.2,27.8,35,22.1,2017,0.889
Butler,54,51.9,15.7,19.5,27.6,24.6,26.1,35.3,2018,0.600
Seton Hall,52.9,50.3,17.8,17.7,34.3,28.4,35.2,29.8,2018,0.647
Xavier,55.9,49.9,17.2,15.7,30.2,23.1,41,25.6,2018,0.829
Villanova,53.2,50.4,16.9,18,30.3,27.7,34.4,28.2,2019,0.722
Liberty,55.9,48.9,17.2,20.5,25.2,26.4,26.7,32.7,2019,0.879
Hawaii,51.9,44.9,18.1,19.8,30.4,26.4,45.4,40.2,2016,0.813
UC Irvine,51.3,44.1,17.5,16.7,33.7,27,28.7,33,2019,0.861
UAB,47.6,47.6,20.1,19.7,34.2,33.1,35.7,33.6,2015,0.543
Middle Tennessee,51.7,49.4,17.1,19.4,28.7,25.7,34.9,42.4,2016,0.697
Middle Tennessee,54.1,47.9,15.6,19.8,30.1,23.8,30,38.2,2017,0.886
Marshall,54.7,49.9,17.2,18.4,22.4,32.3,33.1,28.9,2018,0.714
Yale,52.2,46.7,19.9,17.8,39.3,24.3,41.7,33.3,2016,0.759
Buffalo,54.8,48.8,16.5,18.1,31.9,29.1,29.9,39.5,2018,0.771
Buffalo,53.4,47.3,16,20.3,31.7,26.9,32.7,31.9,2019,0.914
Northern Iowa,55.9,45.6,17.8,19.2,27,26.9,39.8,27,2015,0.886
Northern Iowa,53.2,48.7,15.2,18.5,17.7,27.4,34.1,24.8,2016,0.629
Wichita St.,48.9,44.7,14.7,23.2,31.7,23.6,37.4,45.4,2016,0.735
Wichita St.,54.2,43.8,16.2,19.3,34.2,24.2,40.4,35.1,2017,0.886
San Diego St.,46.6,43.5,18.6,21.1,35.7,29.7,36.2,25.7,2015,0.743
Murray St.,54.8,46.5,17.2,19.4,32,30.7,33.5,27.4,2019,0.903
Oregon,52.3,48,16.9,16.7,30.2,31.5,29.1,35.4,2015,0.714
Utah,55.1,48,18.2,15.3,29.2,27.8,37.9,23,2016,0.743
USC,52.2,50.1,15.7,17.9,31,31.4,36.8,24,2017,0.722
Washington,52.1,47.5,19.8,24.2,29.1,34.9,34.7,34,2019,0.750
Georgia St.,52,45.8,16.3,23.2,30,34.8,37.7,39.8,2015,0.706
Arkansas Little Rock,51.9,45.9,15.6,21,26.7,29.5,31.5,38.3,2016,0.848
Wofford,57.5,49.9,16.1,19.1,31.8,25.2,27.8,31.8,2019,0.938
Arkansas,50,48.3,16.9,22.3,35.7,34.6,37.3,38.8,2015,0.750
Kentucky,53.5,44.5,16.2,18,37.5,31.9,37.8,40.8,2016,0.750
Arkansas,51.4,47.8,16.6,18.5,31.9,34.2,38.1,39.1,2017,0.722
Alabama,51.9,47.8,20.3,18.7,29.4,30.9,41.9,36.5,2018,0.556
Auburn,50.8,49.7,16.4,20.7,32.1,28,39.8,38.1,2018,0.765
Florida,50.8,48.7,14.3,20,28.7,30.5,32.6,32.4,2018,0.618
Tennessee,50.8,46.7,17.9,20.4,33.4,31.1,35.5,37.6,2018,0.743
Florida,49.8,48.1,17.9,22.4,30.6,32.2,29.9,33.6,2019,0.556
Stephen F. Austin,54.8,49.5,17.7,25.9,33.5,30.7,34.3,40.2,2016,0.800
Saint Mary's,57.8,45.3,17.5,15.3,33.1,21.9,27.8,26.6,2017,0.853
Wichita St.,52.4,44.7,16.2,18.2,35,26.2,46.9,35.7,2014,0.971
Kansas,54.2,47.1,19.1,16.4,37.3,28.8,48.3,45.5,2014,0.714
Villanova,53.6,46.3,17.3,20,32.6,28.7,44.5,38.6,2014,0.853
Creighton,58.9,48.5,15,14.8,27.7,27.8,33.9,33,2014,0.771
Syracuse,48.2,48,14.8,21.9,38.1,31.5,38.2,36.7,2014,0.824
Saint Louis,49.6,44.4,18.6,21,28.8,29,40.3,35.6,2014,0.788
North Carolina,49.9,47,16.9,19.3,38.1,31.3,42.9,41.4,2014,0.706
Oregon,53.5,49.1,16.1,18.9,32.2,31.9,43.8,47.8,2014,0.706
Texas,47.4,46.5,17.5,16.3,39.6,30.2,43.4,41,2014,0.686
Gonzaga,55.2,44.6,17.4,17.4,30.6,29.5,41.2,38.6,2014,0.800
Memphis,51.9,48.4,18.6,20.3,35.8,33.3,39.5,33.8,2014,0.697
Pittsburgh,50.7,46.7,16.3,19.2,37.2,29,44.3,36.4,2014,0.722
Harvard,52.1,46.2,17.6,21.1,32.3,29.3,48.4,36.3,2014,0.839
North Dakota St.,54.5,49.8,15.6,17.1,30.6,27.9,41.6,40.2,2014,0.767
Stephen F. Austin,52.3,50.5,16.9,23.6,38.2,28.9,39.9,50.7,2014,0.909
Mercer,54,46.8,17.5,19,32,31.1,37.3,41,2014,0.727
Gonzaga,54.9,44.9,17.2,20.8,37.8,29.8,40.8,29.9,2013,0.912
Saint Louis,50.4,45.5,17.6,23.6,27.9,29.1,44,35,2013,0.800
VCU,51.3,49.9,16.9,28.5,36.6,34.7,29.8,40.3,2013,0.750
Butler,50.7,46.7,20.2,17.4,35.9,26.3,38.4,36.1,2013,0.743
Memphis,52.4,45.5,20.7,22.1,35.6,31.1,37.2,34.9,2013,0.861
San Diego St.,48.5,44.7,18.1,18.2,31.8,27.9,35.3,28.9,2013,0.656
Illinois,47.5,48.7,17.6,21.7,33.6,33,31,36,2013,0.618
Creighton,58.2,45.9,18.9,16.1,28.8,27.2,34.2,26.1,2013,0.778
Colorado St.,49.2,48.6,17.2,16.5,41.4,23.2,44.1,36.4,2013,0.727
North Carolina,49.3,48,17.2,21.5,34.6,31.6,28.2,27.1,2013,0.686
Temple,49,49,15.9,20.1,30.8,31.4,35.6,34.1,2013,0.706
Iowa St.,53.8,48,18.5,18.6,34.2,28.5,33,32.7,2013,0.657
Minnesota,49.3,45.6,21.6,20.2,43.6,33.2,41.6,36.7,2013,0.618
California,48,44.3,18.9,16.8,32.5,30.7,31.2,32.5,2013,0.636
Mississippi,49.1,46.4,15.9,21.5,34.1,31.8,38.8,31.1,2013,0.750
Harvard,54.3,49.2,20.8,20.9,25.6,31.4,49.6,31.2,2013,0.655
Davidson,55.4,49.3,14.1,17,29.6,30.4,28.5,34.6,2015,0.742
VCU,48.7,49.5,15.7,23.5,31.8,30.6,37.3,37.8,2015,0.722
Dayton,51.6,46.9,18.6,18,28.7,24.2,40.8,32.8,2016,0.758
Dayton,53.6,47.7,16.9,20.9,25.6,27.4,43.4,35.2,2017,0.774
VCU,51,47.5,17.8,21,31.3,27.5,36.4,40.9,2017,0.743
Davidson,57.4,51.2,14.5,16.2,22.6,23.4,24.6,29.6,2018,0.636
St. Bonaventure,51.6,49,16.3,20.4,29.3,29.1,40.5,38.4,2018,0.765
Saint Louis,46.7,46.9,19.3,19.4,36,25.1,39.4,33.5,2019,0.639
VCU,50.1,43.5,20,23.4,31,30.6,35.7,36.6,2019,0.758
Pittsburgh,51.1,50,17.5,16.9,36.9,27.5,36.1,32.4,2016,0.625
Miami FL,51,47.6,19.5,18.3,33.4,28.2,34.3,28.7,2017,0.636
Virginia Tech,56.9,51,17.2,16.5,23.4,30.5,40.9,27.3,2017,0.667
Miami FL,53.1,49,16.8,18.8,29.1,28.2,29.1,28.1,2018,0.688
North Carolina St.,53.4,51.6,16.8,20.4,33.4,32,34.2,33.7,2018,0.636
Virginia,52.7,44.3,14,20.9,27,25.6,24.5,26.2,2018,0.912
Virginia Tech,57.7,50.4,17,18.6,23.9,29.4,36.5,29.4,2018,0.636
Louisville,50.9,46.7,17.5,16.1,29.1,25.9,34.9,32,2019,0.588
Syracuse,49.6,48.1,18.5,23.1,30.2,33.4,36.8,34.3,2019,0.588
Albany,49.9,49.6,18.8,20.1,32.6,26,39,30.4,2015,0.727
Stony Brook,52.2,47.6,17.3,18.4,34.8,26,32.2,27.6,2016,0.774
Vermont,55.3,48.6,17,19.6,29.8,27.1,34.3,26.5,2017,0.853
Vermont,52.6,48.7,16.8,19.1,27.3,22.2,35.9,27.5,2019,0.818
SMU,52.1,45.7,19.5,20.3,36.6,29.2,43.8,31.2,2015,0.788
Cincinnati,49.3,45.6,16.3,20.3,36.7,30.6,33.2,27,2016,0.667
Temple,47,46.4,13.8,16.2,29.1,29.7,26.6,28.7,2016,0.636
SMU,54.6,46,16.9,18.3,37.2,26.4,36,24.6,2017,0.857
Wichita St.,55.1,49.4,16.5,16.3,35.4,22.6,34.8,33.2,2018,0.758
Cincinnati,49,48.6,16,20.9,37.4,29.3,37.6,30.5,2019,0.800
Florida Gulf Coast,51.5,47.7,17.2,15.9,31.7,27.5,37.3,35.3,2016,0.548
Florida Gulf Coast,53.9,49.3,17.9,17.4,33.8,29.6,33.8,35.9,2017,0.839
Lipscomb,51.5,52,20,19.9,27.4,24.3,40.6,38.4,2018,0.767
Indiana,54.4,50.3,17.2,15.9,35.3,31.5,32.7,32.8,2015,0.588
Purdue,50.3,45.4,19.9,17.6,36.5,30.9,41.7,38.4,2015,0.618
Michigan,54.5,51.4,14.5,17.9,24.8,26.4,27.8,27,2016,0.629
Michigan St.,56.3,43.3,17.6,14.2,37.1,24.3,30,34.1,2016,0.829
Purdue,53.6,44.3,17.7,13.7,35,23.4,35.4,28.1,2016,0.743
Maryland,52.4,47.5,19,18,30.4,32.3,38.5,32.6,2017,0.750
Minnesota,48.7,45.1,16.1,17.6,29.7,30.2,39.6,29.2,2017,0.706
Wisconsin,51.1,45.2,14.6,17.2,24.5,26.5,27.3,25.8,2019,0.676
Baylor,49.8,45.8,20.1,19.3,41.9,31.5,38.6,32.1,2015,0.697
Iowa St.,54.3,47.6,15.8,18.5,28.3,29.6,36.5,24,2015,0.735
Oklahoma St.,50.2,46.5,18.5,21.1,26.9,32.6,39,42.1,2015,0.548
Texas,49.1,42.1,20.1,14,37.9,28.6,36.6,34.8,2015,0.588
Baylor,51.6,51.2,18.6,19.8,40,28.8,38.6,38.6,2016,0.636
Texas,49.4,47.7,15.4,18.5,30.7,32,39.5,38.4,2016,0.606
Texas Tech,50,49.6,17.8,19,31.3,32.3,42.2,32.9,2016,0.594
West Virginia,49.8,48.4,20,25,42,27.1,46.2,55.3,2016,0.743
Kansas St.,52.7,49.6,19.1,22.1,29.5,32.3,41.1,33.4,2017,0.600
Oklahoma St.,54,53.2,18.2,20.3,38.3,31.9,37.4,45.4,2017,0.625
Oklahoma,53.5,51,17.3,16.8,28.4,30,33.2,25.6,2018,0.563
TCU,56.5,52.3,17.8,17.4,34.2,26.1,34.1,30.5,2018,0.636
Texas,50,48.3,17,18,29.4,29.1,33,26.2,2018,0.559
Iowa St.,54.7,48.4,16.3,18.8,28.3,30.1,30,23.6,2019,0.657
Kansas St.,49.4,48.2,17.4,22.8,28.3,25.7,30.6,30.7,2019,0.735
Providence,48.4,48.2,18.1,19.7,35.2,29,40.7,39.3,2015,0.647
St. John's,49.3,46.4,15.7,19.5,27.6,35.4,35.7,33.3,2015,0.625
Seton Hall,49.8,45.4,19.4,19.5,34.7,30.8,40.4,33.8,2016,0.735
Creighton,57.6,49.9,17.1,19.3,24.2,29.6,27.9,29.3,2017,0.735
Marquette,57.5,52.2,17.3,18.3,27.1,29.2,31,35.7,2017,0.594
Seton Hall,49.9,49,19.5,17.5,35.7,25.4,37.6,36.1,2017,0.636
Creighton,57.4,50.1,15.6,15.8,22.5,24.6,26.5,24.8,2018,0.656
Providence,49.6,50.3,17.4,19,28.9,29,38.6,31.8,2018,0.600
Marquette,53.5,46.3,19.4,16.6,29.4,26.1,35.1,35.9,2019,0.706
Seton Hall,49.9,49.6,17.5,19.8,29.5,29.2,34.5,32.8,2019,0.588
Eastern Washington,55.1,52.3,15.9,17.8,29.3,30.7,35.2,36,2015,0.719
Weber St.,54.5,47.4,19.6,15.6,25.9,25.6,45.7,28.1,2016,0.719
North Dakota,53.4,50.7,18.3,19.6,26,27.8,36.1,39.7,2017,0.759
Montana,51.2,48.4,17.4,21.2,33.5,26.1,38.3,41.4,2018,0.813
Montana,56.1,50.1,17.3,19.2,27.4,24.9,31.6,37.3,2019,0.788
Coastal Carolina,50,47.7,17.5,16.9,34.8,28,38.9,35,2015,0.667
UNC Asheville,49.6,49.3,18.6,22.2,31.6,29.3,41.8,33,2016,0.625
Winthrop,53.5,46.7,17.8,18.6,26.3,28.4,38.2,34.5,2017,0.839
Radford,49.3,50.1,18.7,20.2,32,28,31.2,31.7,2018,0.676
Gardner Webb,54.8,50.5,17.1,18.2,22.4,31.3,38.3,27.6,2019,0.719
UC Irvine,50.7,44.7,18.2,17.2,30,30.7,30.2,35.3,2015,0.594
UC Davis,48.4,48.7,20.3,19.6,29.1,28.3,40.8,33.1,2017,0.676
Cal St. Fullerton,51.6,48.2,20.7,18.2,26,28.9,45.6,35.2,2018,0.667
Northeastern,54.5,49.8,21.5,15.5,30.1,25.3,41.4,25,2015,0.657
UNC Wilmington,51.2,47.5,15.9,19.9,32.1,30.1,35.6,55.2,2016,0.742
UNC Wilmington,55,53.2,13.9,20.1,32.5,28.5,30.8,39.6,2017,0.879
College of Charleston,52.7,49.9,15.1,17.8,25.5,27.9,36.6,32.1,2018,0.813
Northeastern,56.5,52.1,16.6,16.7,22.7,24.6,34.3,27.8,2019,0.676
Old Dominion,47.2,45.6,17.8,18.5,32.1,24.8,28.9,32.4,2019,0.743
Valparaiso,51.3,45.2,19,18.6,34.7,27.4,36.6,33.4,2015,0.806
Green Bay,49.8,51.5,15.8,21.1,30.9,32,42.2,35.8,2016,0.618
Northern Kentucky,52.4,49.7,18.8,17,31.2,26.4,36.5,30.5,2017,0.727
Wright St.,48.6,48.3,18.6,21,28.7,25.3,35.3,29.9,2018,0.758
Northern Kentucky,54.6,49.1,17.8,18.4,30.6,26,34.8,35.2,2019,0.788
Harvard,47.1,46.6,18.4,20.1,32.4,28.4,38.9,32.9,2015,0.714
Princeton,53.2,48.7,15.2,20.2,24.1,24.7,24.4,32,2017,0.793
Penn,52.9,47,16.6,17,23.8,22.6,33.4,31.8,2018,0.750
Yale,55.6,47.3,17.8,15.2,26.3,24.6,30.1,31.1,2019,0.759
Iona,53.8,48.8,17.6,19.2,29.2,31,32.4,36.3,2016,0.667
Iona,53.4,50,16.5,18,27,32.1,31,33.4,2017,0.629
Iona,53.9,52.5,16,18.8,24.5,30.8,30.2,28.6,2018,0.588
Iona,53,52.3,17.3,18.5,25.1,30.7,36.8,28.5,2019,0.515
Buffalo,48.7,48.5,16.7,19.7,34.5,30.4,42.6,34.3,2015,0.697
Buffalo,49.6,49.8,18.8,17.7,31.8,28.7,41.6,37.8,2016,0.559
Kent St.,48.2,50.1,17.9,19,38.1,29.8,32.5,34.3,2017,0.629
Hampton,45.6,46.4,20.2,20.1,31.8,30.9,43.8,45.5,2015,0.486
Hampton,46.7,48.6,18.7,16.7,34.5,27.2,41.3,35.7,2016,0.645
Bradley,49.7,47.6,18.8,18.4,26.7,26.7,36.3,35.6,2019,0.588
Wyoming,52.2,47,18.8,17.9,22,27,40.4,27,2015,0.697
Fresno St.,48.4,48.8,15.1,21,30,29.7,37.7,46.4,2016,0.697
Nevada,52.5,48.3,15.5,15.9,30.4,26.3,41.3,28.2,2017,0.800
San Diego St.,51.7,48.6,17,19,31.6,25,35.1,29.6,2018,0.688
Nevada,53.7,47.7,14.6,19.2,27.2,24.9,40.8,28,2019,0.853
Utah St.,53.9,46.5,18.2,17.3,32,22.3,36.7,34.3,2019,0.824
Robert Morris,50.1,49.3,19.8,21.8,31,35.9,35.5,37.6,2015,0.571
Mount St. Mary's,51,49.9,19.2,21.7,23.1,34.8,32.4,32.6,2017,0.556
Fairleigh Dickinson,54.2,52,19.7,20.2,29.5,33.2,35.7,29.4,2019,0.636
Belmont,56.5,51.3,20.3,18.5,28.9,29.6,32.2,28.2,2015,0.656
Austin Peay,51.3,53.8,20.2,18.6,31.9,30,47,31.3,2016,0.471
Jacksonville St.,52.6,49.4,20.7,16.6,31.2,28.5,33.4,34.4,2017,0.606
Murray St.,55,47.2,17.6,18,32.9,27.6,37.3,30.5,2018,0.867
Belmont,57.6,48.7,15.2,16,25.3,25,28.5,27.4,2019,0.844
Arizona,53.6,46.2,18.2,16,35,24.9,43.8,29.3,2016,0.735
California,52.2,44.3,17.7,14.1,32.4,25.3,41.7,37.5,2016,0.676
Colorado,48.4,46.8,18.8,15.4,34.8,24.8,40.5,35.7,2016,0.636
Oregon St.,49.8,49.5,16.6,19.5,29,32.2,36.8,39.3,2016,0.581
USC,52.2,47.3,16.6,16.7,32.1,31.6,35.1,28.3,2016,0.618
Arizona,56.3,49.9,17.5,16.7,33.2,25.1,36.9,31.2,2018,0.771
Arizona St.,50.6,48.5,18.7,19,31.7,26.9,43.8,38.6,2019,0.676
Lafayette,55.8,53.5,17.1,16.8,27.7,34.5,30.4,27.5,2015,0.594
Holy Cross,47.9,53.2,16.8,19.6,23.1,29.6,36.1,33.4,2016,0.429
Bucknell,55.3,48,18.9,19.7,26.8,27.9,37.2,33.1,2017,0.743
Bucknell,53.9,47.8,17,17,27,27.5,42.6,34.5,2018,0.714
Colgate,55.9,50.7,19.3,17.8,30.2,27.1,28.4,28.2,2019,0.706
Troy,51.6,50.1,17.8,17.6,30.8,29.8,40.1,32.8,2017,0.629
Georgia St.,53.9,47.1,16.7,20.6,25.6,33.4,30.9,38.6,2018,0.727
Georgia St.,53.7,50.3,16.4,21,23,33.8,35.4,30.9,2019,0.727
Wofford,51.1,47,17.2,20,29.4,27.7,37.6,36.4,2015,0.788
Chattanooga,51.7,50.5,18,20.2,32.3,29,41.6,30.9,2016,0.818
East Tennessee St.,55.8,48.7,20.8,22,30.1,27.4,42.8,38.2,2017,0.818
UNC Greensboro,51.7,47.5,19.8,21.4,33.7,23.9,26,39.2,2018,0.844
Georgia,48.5,44.4,19.2,16.7,32.2,28.5,47.7,34.3,2015,0.636
LSU,50.3,44.6,20.2,19.1,33.9,32.9,33.5,29.4,2015,0.667
Mississippi,47.8,47.6,16.5,18.7,34.8,31.4,36.1,41.2,2015,0.618
Vanderbilt,52.1,48.1,18.2,16.1,24.8,27,34.8,30.7,2017,0.543
Arkansas,53.8,50.4,15.1,19.4,28.8,31.7,37.4,40.8,2018,0.657
Missouri,54.1,46.7,20.8,16,30.3,27.9,38.3,30.3,2018,0.625
Mississippi,53.1,51,18.2,20.6,30.2,29.3,30.9,33.5,2019,0.606
Mississippi St.,54.6,50.3,19.2,19.5,34.7,29.6,32.7,32.1,2019,0.676
Stephen F. Austin,55.6,49,20.3,24.5,37.6,29.6,41.9,49.1,2015,0.839
Stephen F. Austin,53.1,49.7,20.7,25.9,32,28.5,40.5,50.3,2018,0.903
Abilene Christian,51.9,49.8,17.3,23.3,27,28.5,34,38.3,2019,0.900
North Dakota St.,49.7,48.1,16,16.5,26.1,23.7,35.7,30.7,2015,0.677
South Dakota St.,51.3,48,17.1,17.2,32.4,25.5,40.2,40.2,2016,0.750
South Dakota St.,53.2,53.8,18.4,16.2,27.1,28.9,39.9,27.1,2017,0.545
South Dakota St.,54.3,50,14,14.2,24.6,23.3,35.4,25.6,2018,0.903
North Dakota St.,53.5,53.6,15.7,14.4,20.7,25.9,32.2,26.5,2019,0.576
Texas Southern,49.5,49.3,19.7,18.7,33.8,34.6,46.8,33.1,2015,0.629
Texas Southern,48.1,49.1,16.6,19.2,31.7,34.9,44.3,32.3,2017,0.657
Texas Southern,50.5,51.2,17.2,16.2,28.5,32.5,42.9,31.2,2018,0.444
New Mexico St.,50.6,46.4,21.8,20.6,39.3,31,44.3,32.5,2015,0.656
Cal St. Bakersfield,49.3,45.2,18.2,21.5,34.1,29.7,38,42.1,2016,0.700
New Mexico St.,52.7,47.9,19.5,19.1,35.6,28.5,43.3,35.2,2017,0.903
New Mexico St.,51.6,46,17.4,19,33.8,22.5,29.1,33,2018,0.903
New Mexico St.,54.1,48.9,17.8,19.1,37,22.5,34.6,32.5,2019,0.909
Saint Mary's,53.8,48.9,16.2,16.3,31.2,23,29.1,29.1,2019,0.647
Duke,53.8,49.3,14.6,18.5,35.2,31.3,38.8,40.8,2014,0.743
Cincinnati,47.7,44.8,17.4,22.4,39.1,32.3,38.7,36,2014,0.794
Oklahoma,51.7,49.7,15.7,17.8,32.4,30.4,39.4,38.5,2014,0.697
VCU,47.9,47.8,17.2,25.6,34.9,30.8,35.2,39.7,2014,0.743
