TEAM,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,YEAR,WR
Georgia Tech,49.8,49.1,16.7,14.6,37.5,27.2,31.7,31.7,2016,0.583
Louisville,51.9,44.7,17.1,21.6,38.5,29.2,31.8,40.5,2016,0.742
North Carolina St.,48.5,50.6,16.1,15,36.3,30.4,38.9,29.7,2016,0.485
Virginia Tech,50,49,18,17.9,30.3,31.8,49.4,33.5,2016,0.571
Wake Forest,49.4,49.5,20.1,15.2,32.7,31.2,43.2,38.6,2016,0.355
Boston College,51.6,53.2,20.1,17.2,25.6,24.2,29.6,39.6,2017,0.281
Clemson,51.1,51.9,15.8,20.1,31.4,32.2,34.3,24.1,2017,0.515
Georgia Tech,47.4,46,19.3,18.8,27.7,30.8,35.8,27.4,2017,0.583
North Carolina St.,52.7,51.6,18.5,15.6,29.8,31.4,36.2,30.4,2017,0.469
Pittsburgh,51.4,51.3,17.6,14.3,28.2,29.5,39.4,26.6,2017,0.485
Syracuse,53.5,50.3,18,19.7,31.6,34.5,35.1,29.2,2017,0.559
Boston College,52.1,51.8,18.2,17.6,30.1,26,30.7,27.1,2018,0.543
Georgia Tech,46.9,49.2,19.2,18.9,30.8,30.6,34.8,31.8,2018,0.406
Louisville,51.8,47,16.7,18.9,28.6,31.4,31.9,29.3,2018,0.611
Notre Dame,51.1,49.3,14.7,16.4,31.1,28.8,31,22.6,2018,0.600
Pittsburgh,48.2,50.1,20.9,16.6,22.7,34.8,31.9,31.3,2018,0.250
Wake Forest,50.5,51.5,18.8,17.5,30.5,27.7,31.9,39,2018,0.355
Boston College,48.5,48.4,17.5,16.6,28.6,31.5,35,29.4,2019,0.452
Clemson,50.7,47.6,19.7,19.8,27.8,24.5,33.5,30,2019,0.588
Georgia Tech,49.2,45.7,21,18.7,25.3,31.6,34.3,34.8,2019,0.438
Miami FL,50.8,52,16.9,19.8,25.9,29.8,30.8,22.7,2019,0.438
North Carolina St.,52,49.4,17.3,21.5,36,28.8,28.5,38.8,2019,0.667
Notre Dame,46.2,49,14,16.4,29,31.1,30.1,21.8,2019,0.424
Pittsburgh,47.9,47.7,19.6,21.3,32.1,32.8,42.3,32.9,2019,0.424
Wake Forest,44.8,53.3,19.4,16.1,33.9,27.3,37.6,35.2,2019,0.355
Binghamton,44.6,52.3,21.6,20.4,26.2,32.5,39.8,33.8,2015,0.167
Hartford,47.3,50.4,19,20.9,25.3,29.5,29.8,42.1,2015,0.448
Maine,46.7,55.8,21.6,19,23.5,31.7,27.7,36.6,2015,0.100
New Hampshire,49.7,46,18.7,17.1,27.2,23.7,36.1,42.6,2015,0.567
Stony Brook,46,46,18.6,17.7,37.1,25.4,32.4,32.2,2015,0.636
UMass Lowell,47.9,53.9,20.5,23.3,21.6,30.4,34.3,34.1,2015,0.393
UMBC,46.3,51.2,24.1,19.7,23.5,30.5,37.2,33,2015,0.133
Vermont,51.9,43.4,20.1,20.1,26.7,29,42.4,40.4,2015,0.576
Albany,50.7,48.7,18.4,18.7,34.8,25.6,43.3,27.2,2016,0.719
Binghamton,44.1,49.6,20.7,18.2,25.3,28.5,36.2,34.4,2016,0.267
Hartford,49.1,53.3,16.3,18.5,18.9,35.8,33.2,41.1,2016,0.281
Maine,49.2,55.5,20.8,21,27.9,32.3,32,38,2016,0.267
New Hampshire,46.7,50.2,16.8,15.1,29.5,21.7,36.6,34.5,2016,0.581
UMass Lowell,53.6,54.5,21.3,19.2,25.1,32.9,33.2,38.4,2016,0.357
UMBC,50.1,56.6,17.4,19.4,24.9,28.9,42.2,38.8,2016,0.219
Vermont,54.1,49.3,19.2,16.7,28.5,28.2,38.2,37.4,2016,0.611
Albany,51.7,51.2,18.3,17.5,33,23.6,33.4,31.4,2017,0.618
Binghamton,48.8,52.2,18.6,17.1,23.5,28.2,30.8,32.2,2017,0.414
Hartford,47.5,51.9,20.4,18.4,24.7,34.3,32.6,34.9,2017,0.281
Maine,45.5,53,19.1,16.6,26.9,28.8,29.6,33.5,2017,0.226
New Hampshire,50.2,49.9,18.3,14.6,27.2,21.7,34.1,29.3,2017,0.690
Stony Brook,47.1,50.7,15.2,19.7,29.5,28.8,32.8,40.1,2017,0.563
UMass Lowell,54.7,53.4,20.8,17.8,27.1,30.7,31.5,38.1,2017,0.367
UMBC,54,52.4,16.3,17.7,24.4,27.3,35,35.1,2017,0.656
Albany,50.5,50.6,17.5,17,34.6,24.3,37,27.1,2018,0.710
Binghamton,49.7,51.6,18.3,17,25.9,26.7,30,32.4,2018,0.379
Hartford,52.7,51.1,18.1,18.1,24.9,28.5,31.2,33.4,2018,0.594
Maine,46,51.4,21.8,18.1,25.5,30.7,29.2,36.7,2018,0.200
New Hampshire,46.3,50.8,17.4,13.7,28.4,21.4,30.5,41.5,2018,0.345
Stony Brook,47.9,50.5,20,20.8,30.5,28.2,32,41.8,2018,0.419
UMass Lowell,52.1,55.4,18.7,20.3,26.3,32.5,39.2,33.5,2018,0.414
Vermont,55.9,50.6,16.9,16.8,26,22.6,41.8,25,2018,0.794
Albany,49.3,52.1,20.9,18.5,27.3,28.3,32.5,30.2,2019,0.387
Binghamton,49.5,52.3,18.5,16.7,20.9,31.7,24.3,25.2,2019,0.323
Hartford,54.2,52.6,17.8,19.3,25.3,31,33.1,29.9,2019,0.563
Maine,48.6,55.3,22.2,19.1,25.9,27.2,25.6,38.6,2019,0.161
New Hampshire,44,51.5,18.4,16.9,21.5,24.7,21.9,38,2019,0.185
Stony Brook,48.1,46,20.7,18.6,33.2,26.1,35.4,36.2,2019,0.750
UMass Lowell,53.7,52,19.6,17.9,27,29.8,34.1,32.6,2019,0.500
UMBC,48.4,51.4,18.3,22.9,24.5,24.4,31.1,32.9,2019,0.677
Connecticut,50,45.2,18.6,17.9,30.2,30.5,32.3,32.6,2015,0.571
East Carolina,48.4,50.9,18,19.2,28.2,34.7,29.9,34.1,2015,0.387
Houston,46.5,49.1,20.5,19.9,33.6,33.7,31.5,33.2,2015,0.406
Memphis,48.4,44.4,20.2,19.2,37,31.6,31.6,38.7,2015,0.563
South Florida,47.3,49.1,20.9,18.8,31.3,34.8,31.6,42.5,2015,0.258
Temple,44.2,44.5,14.6,18.8,31.8,29.2,35.6,33.5,2015,0.703
Tulane,46.4,49.9,19.9,20.3,32.6,29.3,34.7,36.1,2015,0.467
Tulsa,47.1,45.5,17.7,19.7,30.8,28.5,41.4,30.9,2015,0.697
UCF,49.1,51.3,19.7,15.8,30.7,36.8,35.1,27.2,2015,0.379
East Carolina,49,51.2,19.4,18.4,28.8,32.3,34.6,26.8,2016,0.375
Houston,52.2,47.3,15.4,18.4,35.8,33.3,34.4,36,2016,0.688
Memphis,46.1,44.9,16.4,18.9,32.4,29.6,41.9,38.4,2016,0.559
SMU,55.3,46.6,18.8,18.3,41.2,28.5,33.8,30.4,2016,0.833
South Florida,45.4,47.2,21.9,14.3,34.6,32.5,33,35.6,2016,0.242
Tulane,45.4,48.4,19.5,18.4,32.1,29.8,31.3,36.2,2016,0.382
